ppd_id,fy,EEGroupID,TierID,source_ActCosts,notes_ActCosts,ContributionFY,NormCostRate_tot,NormCostRate_EE,NormCostRate_ER,ReqContRate_ER,ReqContRate_tot,NormCostAmount_tot,NormCostAmount_EE,NormCostAmount_ER,ReqContAmount_ER,ReqContAmount_tot,NormCostRate_tot_est,NormCostRate_EE_est,NormCostRate_ER_est,ReqContRate_ER_est,ProjectedPayroll
1,2012,4,0,,,,,,,,,,,,,,,,,,
1,2012,2,0,,,,,,,,,,,,,,,,,,
1,2012,1,0,,,,,,,,,,,,,,,,,,
1,2012,3,0,,,,,,,,,,,,,,,,,,
3,2012,2,0,,,,.1268,.056999996,.039000001,,.3026,26120,,,,,,,,,205931
3,2012,1,0,,,,.1035,.047699999,.023800001,,.2227,141083,,,,,,,,,1363779
6,2012,6,0,,,,,,,,,,,,,,,,,,
6,2012,1,0,,,,,,,,,,,,,,,,,,
6,2012,2,0,,,,,,,,,,,,,,,,,,
6,2012,3,0,,,,,,,,,,,,,,,,,,
6,2012,5,0,,,,,,,,,,,,,,,,,,
6,2012,4,0,,,,,,,,,,,,,,,,,,
7,2012,3,0,,,,,,,,,,,,,,,,,,
7,2012,1,0,,,,,,,,,,,,,,,,,,
7,2012,2,0,,,,,,,,,,,,,,,,,,
9,2011,5,0,,,,,,,,,,,,,,,,,,
9,2011,3,0,,,,,,,,,,,,,,,,,,
9,2011,4,0,,,,,,,,,,,,,,,,,,
9,2011,1,0,,,,,,,,,,,,,,,,,,
9,2011,2,0,,,,,,,,,,,,,,,,,,
9,2011,6,0,,,,,,,,,,,,,,,,,,
9,2012,9,0,,,,.23226,.10331,.12895,.34616002,,179497.73,79841.172,99656.563,267523.31,,,,,,
9,2012,2,0,,,,.094599999,.015,.079599999,.20992,,32515.857,5155.791,27360.066,72151.898,,,,,,343719.44
9,2012,14,0,,,,.18790001,.079460002,.10844,.16086,,78806.422,33325.781,45480.641,73404.094,,,,,,
9,2012,13,0,,,,.17573999,.078919999,.096549995,.15135001,,59743.652,26868.723,32874.934,56103.008,,,,,,
9,2012,18,0,,,,.25959,.089799993,.16979,.21367,,61358.547,21225.391,40133.156,54186.281,,,,,,
9,2012,3,0,,,,.14729242,.066445656,.080846757,.21116187,,1510298.9,681316.81,828982,2165199.8,,,,,,10253745
9,2012,1,0,,,,.14912,.068230003,.08089,.21121,,1477783,676161.06,801621.94,2093047.9,,,,,,9910025
9,2012,15,0,,,,.19344001,.077610001,.11583,.16160999,,29725.813,11926.568,17799.244,27047.734,,,,,,
9,2012,5,0,,,,.11486175,.01706432,.10165776,.15589368,,2226.6782,330.8042,1970.7092,3022.1118,,,,,,19385.725
9,2012,10,0,,,,.14313,.07,.073130004,.11442,,1465973.4,716957.56,749015.81,1171945.5,,,,,,
9,2012,19,0,,,,.28246999,.089849994,.19261999,.26881,,271351.84,86316.617,185035.23,278383.78,,,,,,
9,2012,17,0,,,,.24209999,.089110002,.15299,.20083,,14854.677,5467.479,9387.1982,13164.12,,,,,,
9,2012,11,0,,,,.13793999,.068740003,.069200002,.080049999,,29005.52,14453.539,14551.98,278383.78,,,,,,
9,2012,4,0,,,,.18105902,.077619903,.10330523,.15685171,,101198.23,43383.625,57739.766,87668.172,,,,,,558923.94
9,2012,8,0,,,,.25893998,.10405,.15489,.30495,,810896.56,325843,485053.56,954994.31,,,,,,
