ppd_id,PlanName,EEGroupID,EEGroupName_check,TierID,TierHireDate_check,BenefitID_BM,fy_start,fy_end,Notes,BenMin_RetAge,BenMin_RetTenure,BenMin_RetPoints,BenMin_RetDate,BenMin_EligibleforRetirement,BenMin_AnnualBenefitAmount,BenMin_ERMatchContribRate,BenMin_ERMatchRatio,BenMin_EEAccountInterestRate,BenMin_BenefitFactor,BenMin_DollarAccrual,fy
1,Alabama ERS,1,ALL,1,,1,2012,9999,,,,,,,,,,,,,2012
1,Alabama ERS,1,ALL,2,,1,2012,9999,,,,,,,,,,,,,2012
1,Alabama ERS,2,ALL,1,,1,2012,9999,,,,,,,,,,,,,2012
1,Alabama ERS,2,ALL,2,,1,2012,9999,,,,,,,,,,,,,2012
1,Alabama ERS,3,ALL,1,,1,2012,9999,,,,,,,,,,,,,2012
1,Alabama ERS,3,ALL,2,,1,2012,9999,,,,,,,,,,,,,2012
1,Alabama ERS,4,ALL,1,,1,2012,9999,,,,,,,,,,,,,2012
1,Alabama ERS,4,ALL,2,,1,2012,9999,,,,,,,,,,,,,2012
2,Alabama TRS,0,ALL,1,,1,2012,9999,,,,,,,,,,,,,2012
2,Alabama TRS,0,ALL,2,,1,2012,9999,,,,,,,,,,,,,2012
3,Alaska PERS,1,ALL,1,,1,2012,9999,,,,,,,,,,,,.3,2012
3,Alaska PERS,1,ALL,2,,1,2012,9999,,,,,,,,,,,,.3,2012
3,Alaska PERS,1,ALL,3,,1,2012,9999,,,,,,,,,,,,.3,2012
3,Alaska PERS,2,ALL,1,,1,2012,9999,,,,,,,,,,,,.3,2012
3,Alaska PERS,2,ALL,2,,1,2012,9999,,,,,,,,,,,,.3,2012
3,Alaska PERS,2,ALL,3,,1,2012,9999,,,,,,,,,,,,.3,2012
4,Alaska TRS,0,ALL,1,,1,2012,9999,,,,,,,,,,,,.3,2012
4,Alaska TRS,0,ALL,2,,1,2012,9999,,,,,,,,,,,,.3,2012
5,Arizona Public Safety,0,ALL,1,,1,2012,9999,,,5,,,,,,.25,,,,2012
5,Arizona Public Safety,0,ALL,1,,2,2012,9999,,,6,,,,,,.4,,,,2012
5,Arizona Public Safety,0,ALL,1,,3,2012,9999,,,7,,,,,,.55,,,,2012
5,Arizona Public Safety,0,ALL,1,,4,2012,9999,,,8,,,,,,.7,,,,2012
