ppd_id,PlanName,EEGroupID,EEGroupName_check,TierID,TierHireDate_check,BenefitID_ECR,fy_start,fy_end,Notes,EEContribution_StartDate,EEContribution_EndDate,EEContribution_TenureStart,EEContribution_TenureEnd,EEContribution_SalaryStart,EEContribution_SalaryEnd,EEContribution_Rate,EEContribution_PercentReqCont,EEContribution_PercentNC,EEContribution_RefundRate,EEContribution_LinkedRefund,EEContribution_MaxDiff,fy
1,Alabama ERS,1,General State EE,1,,1,2012,9999,,1/1/1800, 9/30/2011,,,,,.05,,,,,,2012
1,Alabama ERS,1,General State EE,1,,2,2012,9999,, 10/1/2011, 9/30/2012,,,,,.0725,,,,,,2012
1,Alabama ERS,1,General State EE,1,,3,2012,9999,, 10/1/2012,  1/1/8000,,,,,.075,,,,,,2012
1,Alabama ERS,1,General State EE,2,,1,2012,9999,,,,,,,,.06,,,,,,2012
1,Alabama ERS,2,State Police,1,,1,2012,9999,,,,,,,,.1,,,,,,2012
1,Alabama ERS,2,State Police,2,,1,2012,9999,,,,,,,,.1,,,,,,2012
1,Alabama ERS,3,General Local EE,1,,1,2012,9999,,1/1/1800, 9/30/2011,,,,,.05,,,,,,2012
1,Alabama ERS,3,General Local EE,1,,2,2012,9999,, 10/1/2011, 9/30/2012,,,,,.0725,,,,,,2012
1,Alabama ERS,3,General Local EE,1,,3,2012,9999,, 10/1/2012,  1/1/8000,,,,,.075,,,,,,2012
1,Alabama ERS,3,General Local EE,2,,1,2012,9999,,,,,,,,.06,,,,,,2012
1,Alabama ERS,4,Local Police and Fire,1,,1,2012,9999,,1/1/1800, 9/30/2011,,,,,.06,,,,,,2012
1,Alabama ERS,4,Local Police and Fire,1,,2,2012,9999,, 10/1/2011, 9/30/2012,,,,,.0825,,,,,,2012
1,Alabama ERS,4,Local Police and Fire,1,,3,2012,9999,, 10/1/2012,  1/1/8000,,,,,.085,,,,,,2012
1,Alabama ERS,4,Local Police and Fire,2,,1,2012,9999,,,,,,,,.07,,,,,,2012
2,Alabama TRS,0,ALL,1,,1,2012,9999,,1/1/1800, 9/30/2011,,,,,.05,,,,,,2012
2,Alabama TRS,0,ALL,1,,2,2012,9999,, 10/1/2011, 9/30/2012,,,,,.0725,,,,,,2012
2,Alabama TRS,0,ALL,1,,3,2012,9999,, 10/1/2012,  1/1/8000,,,,,.075,,,,,,2012
2,Alabama TRS,0,ALL,2,,1,2012,9999,,,,,,,,.06,,,,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,1,,1,2012,9999,,,,,,,,.0675,,,.045,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,2,,1,2012,9999,,,,,,,,.0675,,,.045,,,2012
3,Alaska PERS,1,General State and Local Gov. EE,3,,1,2012,9999,,,,,,,,.0675,,,.045,,,2012
3,Alaska PERS,2,State and Local Peace Officer/Fire EE,1,,1,2012,9999,,,,,,,,.075,,,.045,,,2012
3,Alaska PERS,2,State and Local Peace Officer/Fire EE,2,,1,2012,9999,,,,,,,,.075,,,.045,,,2012
3,Alaska PERS,2,State and Local Peace Officer/Fire EE,3,,1,2012,9999,,,,,,,,.075,,,.045,,,2012
4,Alaska TRS,0,ALL,1,,1,2012,9999,,,,,,,,.0865,,,.045,,,2012
4,Alaska TRS,0,ALL,2,,1,2012,9999,,,,,,,,.0865,,,.045,,,2012
5,Arizona Public Safety,0,ALL,1,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,.0765,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,2,2012,9999,,  7/1/2011, 6/30/2012,,,,,.0865,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,3,2012,9999,,  7/1/2012, 6/30/2013,,,,,.0955,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,4,2012,9999,,  7/1/2013, 6/30/2014,,,,,.1035,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,5,2012,9999,,  7/1/2014, 6/30/2015,,,,,.1105,,,,,,2012
5,Arizona Public Safety,0,ALL,1,,6,2012,9999,,  7/1/2015,  1/1/8000,,,,,,.3333333333333333,,0,,,2012
5,Arizona Public Safety,0,ALL,2,,1,2012,9999,,1/1/1800, 6/30/2011,,,,,.0765,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,2,2012,9999,,  7/1/2011, 6/30/2012,,,,,.0865,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,3,2012,9999,,  7/1/2012, 6/30/2013,,,,,.0955,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,4,2012,9999,,  7/1/2013, 6/30/2014,,,,,.1035,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,5,2012,9999,,  7/1/2014, 6/30/2015,,,,,.1105,,,,,,2012
5,Arizona Public Safety,0,ALL,2,,6,2012,9999,,  7/1/2015,  1/1/8000,,,,,,.3333333333333333,,0,,,2012
6,Arizona SRS,1,ALL,1,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,1,ALL,1,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,1,ALL,1,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,1,ALL,1,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,1,ALL,2,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,1,ALL,2,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,1,ALL,2,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,1,ALL,2,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,2,ALL,1,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,2,ALL,1,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,2,ALL,1,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,2,ALL,1,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,2,ALL,2,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,2,ALL,2,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,2,ALL,2,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,2,ALL,2,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,3,ALL,1,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,3,ALL,1,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,3,ALL,1,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,3,ALL,1,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,3,ALL,2,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,3,ALL,2,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,3,ALL,2,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,3,ALL,2,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,4,ALL,1,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,4,ALL,1,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,4,ALL,1,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,4,ALL,1,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,4,ALL,2,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,4,ALL,2,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,4,ALL,2,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,4,ALL,2,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,5,ALL,1,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,5,ALL,1,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,5,ALL,1,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,5,ALL,1,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,5,ALL,2,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,5,ALL,2,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,5,ALL,2,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,5,ALL,2,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,6,ALL,1,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,6,ALL,1,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,6,ALL,1,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
6,Arizona SRS,6,ALL,1,,4,2012,9999,, 6/30/2014,  1/1/8000,,,,,.1148,.5,,.02,,,2012
6,Arizona SRS,6,ALL,2,,1,2012,9999,,1/1/1800, 6/29/2005,,,,,.109,.5,,.08,,,2012
6,Arizona SRS,6,ALL,2,,2,2012,9999,, 6/30/2005, 6/29/2013,,,,,.109,.5,,.04,,,2012
6,Arizona SRS,6,ALL,2,,3,2012,9999,, 6/30/2013, 6/29/2014,,,,,.113,.5,,.02,,,2012
