ppd_id,PlanName,EEGroupID,EEGroupName_check,TierID,TierHireDate_check,BenefitID_FAS,fy_start,fy_end,Notes,AvgSalary_RetAge,AvgSalary_RetTenure,AvgSalary_RetPoints,AvgSalary_RetDate,AvgSalary_AveragingPeriod,AvgSalary_MonthYears,AvgSalary_HighestLast,AvgSalary_Consecutive,S,fy
27,Georgia ERS,0,All,1,,1,2011,9999,,,,,,24,1,1,1,,2011
27,Georgia ERS,0,All,2,,1,2011,9999,,,,,,24,1,1,1,,2011
27,Georgia ERS,0,All,3,,1,2011,9999,,,,,,24,1,1,1,,2011
1,Alabama ERS,1,ALL,1,,1,2012,9999,,,,,,3,0,1,,Within last 10 years,2012
1,Alabama ERS,1,ALL,1,,2,2012,9999,,,,,,5,0,1,,Within last 10 years,2012
1,Alabama ERS,1,ALL,2,,1,2012,9999,,,,,,3,0,1,,Within last 10 years,2012
1,Alabama ERS,1,ALL,2,,2,2012,9999,,,,,,5,0,1,,Within last 10 years,2012
1,Alabama ERS,2,ALL,1,,1,2012,9999,,,,,,3,0,1,,Within last 10 years,2012
1,Alabama ERS,2,ALL,1,,2,2012,9999,,,,,,5,0,1,,Within last 10 years,2012
1,Alabama ERS,2,ALL,2,,1,2012,9999,,,,,,3,0,1,,Within last 10 years,2012
1,Alabama ERS,2,ALL,2,,2,2012,9999,,,,,,5,0,1,,Within last 10 years,2012
1,Alabama ERS,3,ALL,1,,1,2012,9999,,,,,,3,0,1,,Within last 10 years,2012
1,Alabama ERS,3,ALL,1,,2,2012,9999,,,,,,5,0,1,,Within last 10 years,2012
1,Alabama ERS,3,ALL,2,,1,2012,9999,,,,,,3,0,1,,Within last 10 years,2012
1,Alabama ERS,3,ALL,2,,2,2012,9999,,,,,,5,0,1,,Within last 10 years,2012
1,Alabama ERS,4,ALL,1,,1,2012,9999,,,,,,3,0,1,,Within last 10 years,2012
1,Alabama ERS,4,ALL,1,,2,2012,9999,,,,,,5,0,1,,Within last 10 years,2012
