ppd_id,PlanName,EEGroupID,TierID,fy,source_InvestmentReturn,notes_InvestmentReturn,initials_InvestmentReturn,InvestmentReturn_1yr,InvestmentReturn_2yr,InvestmentReturn_3yr,InvestmentReturn_4yr,InvestmentReturn_5yr,InvestmentReturn_7yr,InvestmentReturn_8yr,InvestmentReturn_10yr,InvestmentReturn_12yr,InvestmentReturn_15yr,InvestmentReturn_20yr,InvestmentReturn_25yr,InvestmentReturn_30yr,InvestmentReturn_LongTerm,InvestmentReturn_LTStartYear,GrossReturns,GeoReturn_est,GeoGrowth_est,InvestmentReturn_1yr_est,InvestmentReturn_5yr_est,InvestmentReturn_10yr_est
1,Alabama ERS,0,0,2001,pg 43,,cmg,-.063600004,,.0502,,.080699995,,,,,,,,,,,,-.063600004,.0093639996,0,0,0
1,Alabama ERS,0,0,2002,pg 54,,cmg,-.092900001,,-.0232,,.028800001,,,,,,,,,,,,-.078366429,.0084940847,0,0,0
1,Alabama ERS,0,0,2003,pg 54,,cmg,.16479999,,-.0034999999,,.041199997,,,.075500004,,,,,,,,,-.0035489297,.00989391,0,0,0
1,Alabama ERS,0,0,2004,pg 58,,cmg,.1006,,.054099999,,.037700001,,,.085100003,,,,,,,,,.021525849,.010889237,0,0,0
1,Alabama ERS,0,0,2005,pg 58,,cmg,.1098,,.1274,,.040100001,,,.077800006,,,,,,,,,.038600273,.012084875,0,0,0
1,Alabama ERS,0,0,2006,pg 58,,cmg,.083700001,,.098000005,,.071000002,,,.075800002,,,,,,,,,.045984399,.013096379,0,0,0
1,Alabama ERS,0,0,2007,pg 56,,cmg,.17919999,,.1235,,.1286,,,.072700001,,,,,,,,,.064051561,.01544325,0,0,0
1,Alabama ERS,0,0,2008,pg 60,,cmg,-.1521,,.027100001,,.057600003,,,.0502,,,,,,,,,.03427355,.013094332,0,0,0
1,Alabama ERS,0,0,2009,pg 61,,cmg,-.1003,,-.034699999,,.015900001,,,.026700001,,,,,,,,,.018377995,.01178097,0,0,0
1,Alabama ERS,0,0,2010,pg 64,,cmg,.084700003,,-.0612,,.0112,,,.025599999,,,,,,,,,.024823487,.012778819,0,0,0
1,Alabama ERS,0,0,2011,pg 58,,jp,.0221,,-.00090000004,,-.00059999997,,,.034600001,,,,,,,,,.024575599,.01306123,0,0,0
1,Alabama ERS,0,0,2012,pg 58,,JFP,.18010001,,.093699999,,-.00039999999,,,.062199999,,,,,,,,,.036713075,.015413558,0,0,0
1,Alabama ERS,0,0,2013,CAFR p 66,,MGN,.146,,.11399999,,.061700001,,,.059699997,,,,,,,,,.044736415,.017663937,0,0,0
1,Alabama ERS,0,0,2014,CAFR p 68,,DV,.12020001,,.14850001,,.1093,,,.061500002,,,,,,,,,.049953874,.019787142,0,0,0
1,Alabama ERS,0,0,2015,2015 Plan CAFR p 88,,JT,.0105,,.090600006,,.093699999,,,.051599998,,,,,,,,,.047276344,.019994907,0,0,0
1,Alabama ERS,0,0,2016,2016 Plan CAFR p 103,,TP,.1022,,.076499999,,.1103,,,.053400002,,,,,,,,0,.050627436,.022038389,0,0,0
2,Alabama Teachers,0,0,2001,page 43,,kmc,-.060500003,,.050000001,,.079400003,,,,,,,,,,,,-.060500003,.0093949996,0,0,0
2,Alabama Teachers,0,0,2002,page 54,,kmc,-.078099996,,-.017899999,,.031400003,,,,,,,,,,,,-.0693416,.0086612506,0,0,0
2,Alabama Teachers,0,0,2003,page 54,,kmc,.15979999,,.0015,,.0436,,,.076499999,,,,,,,,,.0015083348,.010045319,0,0,0
2,Alabama Teachers,0,0,2004,page 58,,kmc,.1071,,.059999999,,.041199997,,,.086099997,,,,,,,,,.026922427,.011121172,0,0,0
2,Alabama Teachers,0,0,2005,page 58,,kmc,.1126,,.1286,,.044799998,,,.0792,,,,,,,,,.043513142,.012373417,0,0,0
2,Alabama Teachers,0,0,2006,page 58,,kmc,.088199995,,.1026,,.075999998,,,.077699997,,,,,,,,,.050831433,.013464752,0,0,0
2,Alabama Teachers,0,0,2007,page 56,,kmc,.17459999,,.1246,,.1294,,,.074200004,,,,,,,,,.067680202,.015815698,0,0,0
2,Alabama Teachers,0,0,2008,page 60,,kmc,-.15359999,,.026600001,,.059099998,,,.051999997,,,,,,,,,.037129525,.013386406,0,0,0
2,Alabama Teachers,0,0,2009,page 61,,kmc,-.079400003,,-.029100001,,.0207,,,.0309,,,,,,,,,.023485422,.012323525,0,0,0
2,Alabama Teachers,0,0,2010,page 64,,kmc,.084200002,,-.054699998,,.0155,,,.029999999,,,,,,,,,.029400645,.013361165,0,0,0
2,Alabama Teachers,0,0,2011,pg 58,,jp,.018099999,,.0052999998,,.0020000001,,,.0383,,,,,,,,,.028368151,.013603003,0,0,0
2,Alabama Teachers,0,0,2012,pg 58,,JFP,.183,,.093000002,,.0034999999,,,.064599998,,,,,,,,,.040443007,.016092353,0,0,0
2,Alabama Teachers,0,0,2013,CAFR p 66,,MGN,.14930001,,.1145,,.066799998,,,.062899999,,,,,,,,,.048437472,.018494941,0,0,0
2,Alabama Teachers,0,0,2014,CAFR p 68,,DV,.1213,,.15090001,,.1097,,,.064300001,,,,,,,,,.05348115,.020738378,0,0,0
2,Alabama Teachers,0,0,2015,2015 Plan CAFR p 88,,JT,.0104,,.092,,.0942,,,.054099999,,,,,,,,,.050552774,.020954056,0,0,0
2,Alabama Teachers,0,0,2016,2016 Plan CAFR p 102,,TP,.1041,,.077500001,,.1121,,,.055599999,,,,,,,,0,.053822052,.023135373,0,0,0
3,Alaska PERS,0,0,2001,pg 50,,cmg,-.052499998,,.048699997,,.093500003,,,,,,,,,,,,-.052499998,.0094750002,0,0,0
3,Alaska PERS,0,0,2002,pg 57,,cmg,-.0548,,.0049000001,,.045700002,,,,,,,,,,,,-.0536507,.0089557702,0,0,0
3,Alaska PERS,0,0,2003,pg 56,,cmg,.036699999,,.024800001,,.024700001,,,,,,,,,,,,-.024444437,.0092844469,0,0,0
3,Alaska PERS,0,0,2004,pg 56,,cmg,.1508,,.040900003,,.032899998,,,,,,,,,,,,.016690981,.010684541,0,0,0
3,Alaska PERS,0,0,2005,pg 65,,cmg,.089499995,,.091300003,,.0306,,,,,,,,,,,,.030852726,.011640808,0,0,0
3,Alaska PERS,0,0,2006,pg 74,,cmg,.1174,,.119,,.065399997,,,,,,,,,,,,.044797115,.013007438,0,0,0
3,Alaska PERS,0,0,2007,pg 91,,cmg,.18879999,,.1311,,.1154,,,,,,,,,,,,.064248234,.015463242,0,0,0
3,Alaska PERS,0,0,2008,pg 94,,cmg,-.0306,,.088100001,,.1006,,,,,,,,,,,,.05190241,.014990067,0,0,0
3,Alaska PERS,0,0,2009,pg 92,,cmg,-.2049,,.028800001,,.022,,,,,,,,,,,,.019693106,.011918603,0,0,0
3,Alaska PERS,0,0,2010,pg 78,,cmg,.11390001,,.050000001,,.026500002,,,.028743608,,,,,,,,,.028743623,.013276133,0,0,1
3,Alaska PERS,0,0,2011,pg 78,,jp,.21219999,,.023800001,,.043299999,,,.054403059,,,,,,,,,.044205524,.016093327,0,0,1
3,Alaska PERS,0,0,2012,pg 80,,JFP,.0046000001,,.1068,,.0086000003,,,.060849074,,,,,,,,,.040846258,.016167356,0,0,1
3,Alaska PERS,0,0,2013,pg 86,,MGN,.125,,.1105,,.0392,,,.069556043,,,,,,,,,.047089882,.018188275,0,0,1
3,Alaska PERS,0,0,2014,pg 87,,DV,.1856,,.1025,,.1258,,,.072747171,,,,,,,,,.056422971,.021564018,0,0,1
3,Alaska PERS,0,0,2015,2015 Plan CAFR p 86,,JT,.032899998,,.11270001,,.1089,,,.06703949,,,,,,,,,.054838244,.022273475,0,0,1
3,Alaska PERS,0,0,2016,2016 Plan CAFR p 83,,CC,-.0036000002,,.068599999,,.066399999,,,.054879822,,,,,,,,,.051087465,.02219329,0,0,1
4,Alaska Teachers,0,0,2001,page 48,,kmc,-.0535,,.048899997,,.093699999,,,,,,,,,,,,-.0535,.0094649997,0,0,0
4,Alaska Teachers,0,0,2002,page 53-Investment section is out of sequence-is nearer bottom,,kmc,.054899998,,-.0049000001,,.046,,,,,,,,,,,,-.00076887058,.0099846283,0,0,0
4,Alaska Teachers,0,0,2003,page 55,,kmc,.036800001,,-.0251,,.024800001,,,,,,,,,,,,.01160034,.010352063,0,0,0
4,Alaska Teachers,0,0,2004,page 54,,kmc,.15090001,,.040900003,,.032899998,,,,,,,,,,,,.044759002,.011914189,0,0,0
4,Alaska Teachers,0,0,2005,page 65,,kmc,.090100005,,.091600001,,.0306,,,,,,,,,,,,.053673763,.012987657,0,0,0
4,Alaska Teachers,0,0,2006,page 62,,kmc,.1178,,.1193,,.0656,,,,,,,,,,,,.064100116,.014517604,0,0,0
4,Alaska Teachers,0,0,2007,page 78,,kmc,.1892,,.13159999,,.1157,,,,,,,,,,,,.081131563,.017264334,0,0,0
4,Alaska Teachers,0,0,2008,page 82,,kmc,-.0305,,.088399999,,.101,,,,,,,,,,,,.066503309,.016737772,0,0,0
4,Alaska Teachers,0,0,2009,page 90,,kmc,-.2062,,-.029200001,,.022,,,,,,,,,,,,.032076959,.013286444,0,0,0
4,Alaska Teachers,0,0,2010,page 76,,kmc,.1158,,-.049899999,,.026600001,,,.040158506,,,,,,,,,.040158473,.014825013,0,0,1
4,Alaska Teachers,0,0,2011,page 76,,jp,.214,,.024300002,,.043699998,,,.066373453,,,,,,,,,.054875616,.017997567,0,0,1
4,Alaska Teachers,0,0,2012,page 78,,JFP,.0050999997,,.1082,,.0089999996,,,.061229039,,,,,,,,,.050635137,.018089354,0,0,1
4,Alaska Teachers,0,0,2013,page 84,,MGN,.1259,,.11149999,,.039799999,,,.07001435,,,,,,,,,.056241676,.020366805,0,0,1
4,Alaska Teachers,0,0,2014,page 85,,DV,.1846,,.1026,,.1266,,,.073106974,,,,,,,,,.064929955,.024126515,0,0,1
4,Alaska Teachers,0,0,2015,2015 Plan CAFR p 84,,JT,.033,,.11300001,,.1096,,,.067348905,,,,,,,,,.062770918,.024922691,0,0,1
4,Alaska Teachers,0,0,2016,2016 Plan CAFR p 82,,LO,-.0036000002,,.068599999,,.066700004,,,.055147991,,,,,,,,,.05849617,.02483297,0,0,1
5,Arizona Public Safety Personnel,0,0,2001,pg 51,,cmg,-.16860001,,.032000002,,.10640001,,,.1111,,,,,,,,,-.16860001,.0083139995,0,0,0
5,Arizona Public Safety Personnel,0,0,2002,pg 55,,cmg,-.1507,,,,.026700001,,,.077199996,,,.1174,,,,,,-.15969767,.0070610805,0,0,0
5,Arizona Public Safety Personnel,0,0,2003,pg 41,,cmg,.066700004,,-.090100005,,-.00090000004,,,.074099995,,.092,.1036,,,,,,-.090147182,.0075320541,0,0,0
5,Arizona Public Safety Personnel,0,0,2004,pg 43,,cmg,.1497,,.0137,,-.0055999998,,,.090000004,,.092100002,.11270001,,,,,,-.035339508,.0086596031,0,0,0
5,Arizona Public Safety Personnel,0,0,2005,pg 50,,cmg,.0911,.12,.102,,-.0113,,,.081800006,,.090299994,.1012,,,,,,-.011281853,.0094484929,0,0,0
5,Arizona Public Safety Personnel,0,0,2006,pg 48,,cmg,.083000004,,.1074,,.042199999,,,.073699996,,,.091700003,,,,,,.0038415415,.010232718,0,0,0
5,Arizona Public Safety Personnel,0,0,2007,pg 54,,cmg,.1705,,.1141,,.1114,,,.068099998,,,,,,,,,.026111674,.011977396,0,0,0
