ppd_id,PlanName,EEGroupID,EEGroupName_check,TierID,TierHireDate_check,BenefitID_NRB,fy_start,fy_end,Notes,normal_BenefitFactor,normal_BenefitAmount,normal_RetAge,normal_RetTenure,normal_RetPoints,normal_RetDate,normal_ServiceDateStart,normal_ServiceDateEnd,normal_AgeStart,normal_AgeEnd,normal_TenureStart,normal_TenureEnd,normal_SalaryStart,normal_SalaryEnd,Y,fy
27,Georgia ERS,0,All,1,,1,2011,9999,,.02,,,,,,,,,,,,,,,2011
27,Georgia ERS,0,All,1,,2,2011,9999,,.0202,,,29,,,,,,,,,,,,2011
27,Georgia ERS,0,All,1,,3,2011,9999,,.0205,,,30,,,,,,,,,,,,2011
27,Georgia ERS,0,All,1,,4,2011,9999,,.0208,,,31,,,,,,,,,,,,2011
27,Georgia ERS,0,All,1,,5,2011,9999,,.0211,,,32,,,,,,,,,,,,2011
27,Georgia ERS,0,All,1,,6,2011,9999,,.0214,,,33,,,,,,,,,,,,2011
27,Georgia ERS,0,All,1,,7,2011,9999,,.0217,,,34,,,,,,,,,,,,2011
27,Georgia ERS,0,All,1,,8,2011,9999,,.022,,,35,,,,,,,,,,,,2011
27,Georgia ERS,0,All,2,  7/1/1982,1,2011,9999,,.02,,,,,,,,,,,,,,,2011
27,Georgia ERS,0,All,3,  1/1/2009,1,2011,9999,,.01,,,,,,,,,,,,,,,2011
1,Alabama ERS,1,General State EE,1,,1,2012,9999,,.020125,,,,,,,,,,,,,,,2012
1,Alabama ERS,1,General State EE,2,,1,2012,9999,,.0165,,,,,,,,,,,,,,,2012
1,Alabama ERS,2,State Police,1,,1,2012,9999,,.02875,,,,,,,,,,,,,,,2012
1,Alabama ERS,2,State Police,2,,1,2012,9999,,.02375,,,,,,,,,,,,,,,2012
1,Alabama ERS,3,General Local EE,1,,1,2012,9999,,.020125,,,,,,,,,,,,,,,2012
1,Alabama ERS,3,General Local EE,2,,1,2012,9999,,.0165,,,,,,,,,,,,,,,2012
