ppd_id,PlanName_check,EEGroupID,EEGroupName_check,TierID,TierName,TierDesc,TierHireDate,TierClosedDate,TierFutureAge,TierFutureTenure,TierFuturePoints,TierFutureDateStart,TierFutureDateEnd,notes_TierBasics,SubTierID
1,Alabama ERS,0,General State Employees,0,,,,,,,,,,,
1,Alabama ERS,1,General State Employees,1,Tier 1,,1/1/1800,12/31/2012,,,,,,,
1,Alabama ERS,1,General State Employees,2,Tier 2,,  1/1/2013,  1/1/8000,,,,,,,
1,Alabama ERS,2,State Police,1,Tier 1,,1/1/1800,12/31/2012,,,,,,,
1,Alabama ERS,2,State Police,2,Tier 2,,  1/1/2013,  1/1/8000,,,,,,,
1,Alabama ERS,3,General Local Employees,1,Tier 1,,1/1/1800,12/31/2012,,,,,,,
1,Alabama ERS,3,General Local Employees,2,Tier 2,,  1/1/2013,  1/1/8000,,,,,,,
1,Alabama ERS,4,Local Police and Fire,1,Tier 1,,1/1/1800,12/31/2012,,,,,,,
1,Alabama ERS,4,Local Police and Fire,2,Tier 2,,  1/1/2013,  1/1/8000,,,,,,,
2,Alabama Teachers,0,Teachers,0,,,,,,,,,,,
2,Alabama Teachers,0,Teachers,1,Tier 1,,1/1/1800,12/31/2012,,,,,,,
2,Alabama Teachers,0,Teachers,2,Tier 2,,  1/1/2013,  1/1/8000,,,,,,,
3,Alaska PERS,0,Others,0,,,,,,,,,,,
3,Alaska PERS,1,Others,1,Tier 1,,  1/1/1961, 6/30/1986,,,,,,,
3,Alaska PERS,1,Others,2,Tier 2,,  7/1/1986, 6/30/1996,,,,,,,
3,Alaska PERS,1,Others,3,Tier 3,,  7/1/1996, 6/30/2006,,,,,,,
3,Alaska PERS,2,Peace Officers,1,Tier 1,,  1/1/1961, 6/30/1986,,,,,,,
3,Alaska PERS,2,Peace Officers,2,Tier 2,,  7/1/1986, 6/30/1996,,,,,,,
3,Alaska PERS,2,Peace Officers,3,Tier 3,,  7/1/1996, 6/30/2006,,,,,,,
4,Alaska Teachers,0,All Employees (Teachers),0,,,,,,,,,,,
4,Alaska Teachers,0,All Employees (Teachers),1,Tier 1,,1/1/1800, 6/30/1990,,,,,,,
4,Alaska Teachers,0,All Employees (Teachers),2,Tier 2,,  7/1/1990,  1/1/8000,,,,,,,
5,Arizona Public Safety Personnel,0,All Employees,0,,,,,,,,,,,
5,Arizona Public Safety Personnel,0,All Employees,1,Tier 1,,1/1/1800,12/31/2011,,,,,,,
5,Arizona Public Safety Personnel,0,All Employees,2,Tier 2,,  1/1/2012,  1/1/8000,,,,,,,
6,Arizona SRS,0,All Employees,0,,,,,,,,,,,
6,Arizona SRS,1,All Employees,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,
6,Arizona SRS,1,All Employees,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,
6,Arizona SRS,2,All Employees,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,
6,Arizona SRS,2,All Employees,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,
6,Arizona SRS,3,All Employees,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,
6,Arizona SRS,3,All Employees,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,
6,Arizona SRS,4,All Employees,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,
6,Arizona SRS,4,All Employees,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,
6,Arizona SRS,5,All Employees,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,
6,Arizona SRS,5,All Employees,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,
6,Arizona SRS,6,All Employees,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,
6,Arizona SRS,6,All Employees,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,
7,Arkansas PERS,0,General State and Local Employees,0,,,,,,,,,,,
7,Arkansas PERS,1,General State and Local Employees,1,Tier 1,,1/1/1800,12/31/1977,,,,,,,
7,Arkansas PERS,1,General State and Local Employees,2,Tier 2,,  1/1/1978, 6/30/2005,,,,,,,
7,Arkansas PERS,1,General State and Local Employees,3,Tier 3,, 7/31/2005,  1/1/8000,,,,,,,
7,Arkansas PERS,2,General Assembly,1,Tier 1,,1/1/1800,12/31/1977,,,,,,,
7,Arkansas PERS,2,General Assembly,2,Tier 2,,  1/1/1978, 6/30/2005,,,,,,,
7,Arkansas PERS,2,General Assembly,3,Tier 3,, 7/31/2005,  1/1/8000,,,,,,,
7,Arkansas PERS,3,Judges,0,,,,,,,,,,,
8,Arkansas Teachers,0,All Employees,0,,,,,,,,,,,
8,Arkansas Teachers,0,All Employees,1,Non-Contributory,,1/1/1800, 6/30/1999,,,,,,,
8,Arkansas Teachers,0,All Employees,2,Contributory,,  7/1/1999,  1/1/8000,,,,,,,
9,California PERF,0,State Miscellaneous - Tier 1,0,,,,,,,,,,,
9,California PERF,1,State Miscellaneous - Tier 1,1,,,1/1/1800, 1/14/2011,,,,,,,
9,California PERF,1,State Miscellaneous - Tier 1,2,,, 1/15/2011,12/31/2012,,,,,,,
9,California PERF,1,State Miscellaneous - Tier 1,3,,,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,2,State Miscellaneous - Tier 2,1,,,1/1/1800, 1/14/2011,,,,,,,
9,California PERF,2,State Miscellaneous - Tier 2,2,,, 1/15/2011,12/31/2012,,,,,,,
9,California PERF,2,State Miscellaneous - Tier 2,3,,,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,4,State Industrial - Tier 1,1,,,1/1/1800, 1/14/2011,,,,,,,
9,California PERF,4,State Industrial - Tier 1,2,,, 1/15/2011,12/31/2012,,,,,,,
9,California PERF,4,State Industrial - Tier 1,3,,,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,5,State Industrial - Tier 2,1,,,1/1/1800, 1/14/2011,,,,,,,
9,California PERF,5,State Industrial - Tier 2,2,,, 1/15/2011,12/31/2012,,,,,,,
9,California PERF,5,State Industrial - Tier 2,3,,,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,7,State Safety,1,,,1/1/1800, 1/14/2011,,,,,,,
9,California PERF,7,State Safety,2,,, 1/15/2011,12/31/2012,,,,,,,
9,California PERF,7,State Safety,3,,,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,8,State Peace Officers,1,,,1/1/1800, 1/14/2011,,,,,,,
9,California PERF,8,State Peace Officers,2,,, 1/15/2011,12/31/2012,,,,,,,
9,California PERF,8,State Peace Officers,3,,,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,9,California Highway Patrol,1,,,1/1/1800,10/30/2010,,,,,,,
9,California PERF,9,California Highway Patrol,2,,,10/31/2010,12/31/2012,,,,,,,
9,California PERF,9,California Highway Patrol,3,,,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,10,Schools,1,,,1/1/1800,12/31/2012,,,,,,,
9,California PERF,10,Schools,2,,,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,11,Public Agency - Risk Pool 1,1,,Miscellaneous 2%@60,1/1/1800,12/31/2012,,,,,,,
9,California PERF,11,Public Agency - Risk Pool 1,2,,Miscellaneous 2%@62,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,12,Public Agency - Risk Pool 2,1,,Miscellaneous 2%@55,1/1/1800,12/31/2012,,,,,,,
9,California PERF,12,Public Agency - Risk Pool 2,2,,Miscellaneous 2%@62,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,13,Public Agency - Risk Pool 3,1,,Miscellaneous 2.5%@55,1/1/1800,12/31/2012,,,,,,,
9,California PERF,13,Public Agency - Risk Pool 3,2,,Miscellaneous 2%@62,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,14,Public Agency - Risk Pool 4,1,,Miscellaneous 2.7%@55,1/1/1800,12/31/2012,,,,,,,
9,California PERF,14,Public Agency - Risk Pool 4,2,,Miscellaneous 2%@62,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,15,Public Agency - Risk Pool 5,1,,Miscellaneous 3.0%@60,1/1/1800,12/31/2012,,,,,,,
9,California PERF,15,Public Agency - Risk Pool 5,2,,Miscellaneous 2%@62,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,16,Public Agency - Risk Pool 6 ,1,,Safety 2.0%@55,1/1/1800,12/31/2012,,,,,,,
9,California PERF,16,Public Agency - Risk Pool 6,2,,Safety 2.0%@57,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,17,Public Agency - Risk Pool 7,1,,Safety 2.0%@50,1/1/1800,12/31/2012,,,,,,,
9,California PERF,17,Public Agency - Risk Pool 7,2,,Safety 2.7%@57,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,18,Public Agency - Risk Pool 8,1,,Safety 3.0%@55,1/1/1800,12/31/2012,,,,,,,
9,California PERF,18,Public Agency - Risk Pool 8,2,, Safety 2.7%@57,  1/1/2013,  1/1/8000,,,,,,,
9,California PERF,19,Public Agency - Risk Pool 9,1,,Safety 3.0%@50,1/1/1800,12/31/2012,,,,,,,
9,California PERF,19,Public Agency - Risk Pool 9,2,,Safety 2.7%@57,  1/1/2013,  1/1/8000,,,,,,,
10,California Teachers,0,All,0,,,,,,,,,,,
10,California Teachers,0,All,1,,,1/1/1800,12/31/2012,,,,,,,
10,California Teachers,0,All,2,,,  1/1/2013,  1/1/8000,,,,,,,
11,Chicago Teachers,0,All Employees,0,,,,,,,,,,,
11,Chicago Teachers,0,All Employees,1,,Members hired prior to January 1st 2011,1/1/1800,12/31/2010,,,,,,,
11,Chicago Teachers,0,All Employees,2,,Members hired on or after January 1st 2011,  1/1/2011,  1/1/8000,,,,,,,
12,City of Austin ERS,0,All Employees,0,,,,,,,,,,,
12,City of Austin ERS,0,All Employees,1,Tier 1 (pre 1996),,1/1/1800,12/31/1995,,,,,,,
12,City of Austin ERS,0,All Employees,2,Tier 2 (1996-2011),,01jan1996,12/31/2011,,,,,,,
12,City of Austin ERS,0,All Employees,3,Tier 3 (2012+),,01jan2012,  1/1/8000,,,,,,,
13,Colorado Municipal,0,All,0,,,,,,,,,,,
13,Colorado Municipal,0,All,1,,Hired before 7/1/2005 who have 5 or more years of service credit as of 1/1/2011,1/1/1800, 6/30/2005,,,,,,,
13,Colorado Municipal,0,All,2,,"Hired on and after 7/1/2005 but before 1/1/2007, and who have 5 or more years of service credit as of 1/1/2011",  7/1/2005,12/31/2006,,,,,,,
13,Colorado Municipal,0,All,3,,"Hired on and after 1/1/2007 but before 1/1/2011, or who have less than 5 years of service credit as of 1/1/2011",  1/1/2007,12/31/2010,,,,,,,
13,Colorado Municipal,0,All,4,,Hired on and after 1/1/2011 but before 1/1/2017,  1/1/2011,12/31/2017,,,,,,,
