system_id,RetirementSystemName,RetirementSystemDesc,NumberofPlans,NumberofEmployers,RetirementSystemStateAbbrev,Source,H
1,Retirement Systems of Alabama,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",3,1141,AL,2014 ERS TRS CAFR p 29,
2,Alaska Public Employees Retirement System,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,1,156,AK,2014 PERS CAFR p 35,
3,Alaska Teachers Retirement System,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",1,58,AK,2014 TRS CAFR p 35,
4,Arizona Public Safety Personnel Retirement System,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,1,237,AZ,2014 PSRS CAFR p 26,
5,Arizona State Retirement System,"ASRS administers pension and other benefits for most state employees, public and charter school teachers, and employees of other political subdivisions that have elected to participate. The state maintains separate plans for public safety personnel, corre",1,585,AZ,2014 SRS CAFR p 16,
6,Arkansas Public Employees Retirement System,"APERS administers pension and other benefits for substantially all public employees in the state except those eligible for membership in the state Teachers Retirement System, Highway Employees Plan, and Local Police & Fire Retirement Plan. Members hired a",2,726,AR,2014 APERS CAFR p 39,
7,Arkansas Teachers Retirement System,ATRS provides pension and other benefits to public school teachers and other employees of public educational institutions in the state.,1,336,AR,2014 ARTRS CAFR p 5,
8,California Public Employees Retirement System,"CalPERS is the nation's largest pension fund, administering pension and other benefits for employees of the state, 26 counties, and more than 1,400 other political subdivisions including school districts. The system comprises 14 funds, including 5 defined",4,3264,CA,2014 CALPERS CAFR p 51,
9,California State Teachers Retirement System,"CalSTRS administers pension and other benefits for certificated employees of approximately 1,200 public school districts, community colleges, and educational agencies throughout California. Four funds comprise the System: the State Teachers Retirement Pla",1,1690,CA,2015 CALSTRS p 116,
10,Chicago Public School Teachers Pension and Retirement Fund,The PSTPRF of Chicago administers pension and other benefits for certificated employees of Chicago public schools and charter schools.,1,70,IL,2014 CTPF CAFR p 29,
11,Austin Employees' Retirement System,COA ERS administers pension and other benefits for general employees of the City of Austin. The city maintains separate plans for its police officers and firefighters.,1,2,TX,2014 COAERS CAFR p134,
