,5,5,5,5,5,5,
5,147086718,0,0,0,0,0, 
5,355733538,123263472,0,0,0,0, 
5,328366042,303107920,106619935,0,0,0, 
5,289648980,303121314,248129759,60074928,0,0, 
5,310867596,315869242,296787225,142298380,52105578,0, 
5,322988280,374508086,364558904,193930000,145001850,69611895, 
5,285073272,409076052,439042855,262196400,197808864,214940240, 
5,196120380,319068288,399142128,281354072,211511790,266827652, 
5,100720597,180719019,231292418,175056019,142968750,147094221, 
5,41895127,67621190,82279320,55166700,44663677,48819777, 
