,24,3,2,2
30,0,0,0,0
1,0,0,0,0.023
1,0,0,0,0.023
1,0,0,0,0.023
1,0,0,0,0.024
1,0,0,0,0.028
1,0.0414,0.0828,0.0414,0.088
1,0.0292,0.0584,0.0292,0.088
1,0.0292,0.0584,0.0292,0.108
1,0.0382,0.0764,0.0382,0.156
1,0.0522,0.1044,0.0522,0.188
1,0.0846,0.1692,0.0846,0.302
1,0.0846,0.1692,0.0846,0.475
1,0.108,0.216,0.108,0.445
1,0.153,0.306,0.153,0.39
1,0.1296,0.2592,0.1296,0.34
1,0.1422,0.2844,0.1422,0.365
1,0.1296,0.2592,0.1296,0.316
1,0.1296,0.2592,0.1296,0.316
1,0.1296,0.2592,0.1296,0.316
1,0.1296,0.2592,0.1296,0.316
1,0.1296,0.2592,0.1296,0.34
1,0.1296,0.2592,0.1296,0.34
1,0.1296,0.2592,0.1296,0.34
1,0.1296,0.2592,0.1296,0.34
1,0.1296,0.2592,0.1296,0.34
1,1,1,1,1
