,7,17,8,2,2
30,0,0,0,0,0.05
1,0,0,0,0,0.05
1,0,0,0,0,0.05
1,0,0,0,0,0.15
1,0,0,0,0.1365,0.1365
1,0,0,0,0.15,0.15
1,0,0,0.05775,0.1255,0.1255
1,0,0,0.06,0.1165,0.1165
1,0,0,0.07775,0.1165,0.1165
1,0,0,0.0845,0.1165,0.1165
1,0,0,0.153,0.1165,0.1165
1,0,0.1165,0.1165,0.1165,0.1165
1,0,0.1,0.1,0.1,0.1
1,0,0.16375,0.16375,0.16375,0.16375
1,0,0.13875,0.13875,0.13875,0.13875
1,0,0.13875,0.13875,0.13875,0.13875
1,0,0.2275,0.2275,0.2275,0.2275
1,0,0.2,0.2,0.2,0.2
1,0,0.16625,0.16625,0.16625,0.16625
1,0,0.13875,0.13875,0.13875,0.13875
1,0,0.13875,0.13875,0.13875,0.13875
1,0,1,1,1,1
