,19,5,1
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.03
1,0,0.02,0.06
1,0,0.02,0.07
1,0,0.03,0.07
1,0,0.03,0.07
1,0,0.03,0.08
1,0,0.03,0.12
1,0,0.06,0.28
1,0,0.08,0
1,0,0.08,0
1,0,0.08,0
1,0,0.08,0
1,0,0.25,0
