,1,2,2
1,0.2,0.095,0.18
1,0.2,0.095,0.18
1,0.2,0.095,0.18
1,0.2,0.095,0.18
1,0.2,0.095,0.18
1,0.126,0.095,0.09
1,0.126,0.095,0.06
1,0.126,0.095,0.06
1,0.126,0.095,0.055
1,0.126,0.095,0.053
1,0.12,0.109,0.053
1,0.12,0.109,0.05
1,0.12,0.109,0.045
1,0.12,0.109,0.045
1,0.12,0.109,0.045
1,0.117,0.095,0.04
1,0.117,0.095,0.04
1,0.117,0.095,0.04
1,0.117,0.095,0.04
1,0.117,0.095,0.04
1,0.123,0.09,0.037
1,0.123,0.09,0.037
1,0.123,0.09,0.037
1,0.123,0.09,0.037
1,0.123,0.09,0.04
1,0.099,0.09,0.04
1,0.099,0.09,0.04
1,0.099,0.09,0.04
1,0.099,0.09,0.04
1,0.099,0.09,0.04
1,0.112,0.09,0.04
1,0.112,0.09,0.04
1,0.112,0.09,0.04
1,0.112,0.09,0.04
1,0.112,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
1,0.106,0.09,0.04
