,24,5,5
18,0,0,0
1,0.1,0.08,0.6
1,0.1,0.08,0.6
1,0.1,0.08,0.6
1,0.1,0.08,0.6
1,0.1,0.08,0.6
1,0.07,0.08,0.6
1,0.07,0.08,0.6
1,0.07,0.08,0.6
1,0.07,0.08,0.6
1,0.07,0.08,0.6
1,0.07,0.08,0.6
1,0.07,0.08,0.6
1,0.07,0.08,0.6
1,0.07,0.16,0.6
1,0.07,0.16,0.6
1,0.07,0.16,0.6
1,0.15,0.28,0.4
1,0.15,0.35,0.2
1,0.15,0.2,0.05
1,0.15,0.13,0.05
1,0.15,0.13,0.05
1,0.15,0.13,0.05
1,0.15,0.13,0.05
1,0.12,0.12,0.12
1,0.12,0.12,0.12
1,0.12,0.12,0.12
1,0.12,0.12,0.12
1,0.12,0.16,0.2
1,0.12,0.16,0.18
1,0.12,0.16,0.18
1,0.12,0.16,0.18
1,0.12,0.16,0.28
1,0.12,0.16,0.28
1,0.12,0.16,0.2
1,0.12,0.16,0.2
1,0.12,0.16,0.2
1,0.12,0.16,0.2
