,1,1,1,1,1,1
5,0.1,0.07,0.0325,0.03,0.0275,0.027
1,0.1,0.07,0.0325,0.03,0.0275,0.027
1,0.1,0.07,0.0325,0.03,0.0275,0.027
1,0.1,0.07,0.0325,0.03,0.0275,0.027
1,0.1,0.07,0.0325,0.03,0.0275,0.027
1,0.1,0.07,0.0325,0.03,0.0275,0.027
1,0.1,0.07,0.0325,0.03,0.0275,0.027
1,0.1,0.07,0.0325,0.03,0.0275,0.0261
1,0.1,0.07,0.0325,0.03,0.0275,0.0236
1,0.1,0.07,0.0325,0.03,0.0275,0.0213
1,0.1,0.07,0.0325,0.03,0.0275,0.0191
1,0.1,0.07,0.0325,0.03,0.0275,0.017
1,0.1,0.07,0.0325,0.03,0.0275,0.0152
1,0.1,0.07,0.0325,0.03,0.0275,0.0136
1,0.1,0.07,0.0325,0.03,0.0275,0.0122
1,0.1,0.07,0.0325,0.03,0.0275,0.0113
1,0.1,0.07,0.0325,0.03,0.0275,0.0105
1,0.1,0.07,0.0325,0.03,0.0275,0.0098
1,0.1,0.07,0.0325,0.03,0.0275,0.0092
1,0.1,0.07,0.0325,0.03,0.0275,0.0085
1,0.1,0.07,0.0325,0.03,0.0275,0.0079
1,0.1,0.07,0.0325,0.03,0.0275,0.0072
1,0.1,0.07,0.0325,0.03,0.0275,0.0065
1,0.1,0.07,0.0325,0.03,0.0275,0.0058
1,0.1,0.07,0.0325,0.03,0.0275,0.0052
1,0.1,0.07,0.0325,0.03,0.0275,0.0046
1,0.1,0.07,0.0325,0.03,0.0275,0.0038
1,0.1,0.07,0.0325,0.03,0.0275,0.0033
1,0.1,0.07,0.0325,0.03,0.0275,0.0029
1,0.1,0.07,0.0325,0.03,0.0275,0.0028
1,0.1,0.07,0.0325,0.03,0.0275,0.0023
1,0.1,0.07,0.0325,0.03,0.0275,0.0025
1,0.1,0.07,0.0325,0.03,0.0275,0.0019
1,0.1,0.07,0.0325,0.03,0.0275,0.0019
1,0.1,0.07,0.0325,0.03,0.0275,0.0018
1,0.1,0.07,0.0325,0.03,0.0275,0.0017
