,1
1,7
1,2
1,5
1,4
1,7
1,9
1,5
1,8
1,12
1,12
1,15
1,18
1,22
1,9
1,14
1,21
1,31
1,19
1,22
1,22
1,24
1,39
1,38
1,38
1,55
1,50
1,58
1,68
1,83
1,111
1,221
1,403
1,639
1,895
1,1225
1,1636
1,2153
1,2558
1,3037
1,3622
1,4413
1,5676
1,6339
1,7443
1,8144
1,8635
1,9996
1,7194
1,6996
1,6995
1,7156
1,5989
1,5583
1,5144
1,4864
1,4678
1,4330
1,4194
1,4090
1,3601
1,3447
1,3314
1,3104
1,2858
1,2583
1,2330
1,2072
1,1868
1,1647
1,1346
1,1151
1,1022
1,906
1,647
1,492
1,371
1,266
1,210
1,147
1,96
1,65
1,32
1,28
1,13
1,16
1,4
