,5,5,5,5,5,5
5,39011072,0,0,0,0,0
5,263649906,63582600,0,0,0,0
5,323521588,226011968,85657971,0,0,0
5,274873376,267554343,275928159,47190880,0,0
5,242826390,291731310,407138370,153028590,83016339,0
5,214771336,251626647,407321715,201976964,282861049,104161575
5,199405508,226227664,409850819,215688027,337334930,408027972
5,159001570,194721766,324943945,177540920,278997372,490803532
5,95319000,130609128,192516074,112017150,165308715,262043192
5,44940051,57416632,93615423,46121600,55865852,96844938
