,24,3,2,2
30,0,0,0,0
1,0,0,0,.023
1,0,0,0,.023
1,0,0,0,.023
1,0,0,0,.024
1,0,0,0,.028
1,.0414,.0828,.0414,.088
1,.0292,.0584,.0292,.088
1,.0292,.0584,.0292,.108
1,.0382,.0764,.0382,.156
1,.0522,.1044,.0522,.188
1,.0846,.1692,.0846,.302
1,.0846,.1692,.0846,.475
1,.108,.216,.108,.445
1,.153,.306,.153,.39
1,.1296,.2592,.1296,.34
1,.1422,.2844,.1422,.365
1,.1296,.2592,.1296,.316
1,.1296,.2592,.1296,.316
1,.1296,.2592,.1296,.316
1,.1296,.2592,.1296,.316
1,.1296,.2592,.1296,.34
1,.1296,.2592,.1296,.34
1,.1296,.2592,.1296,.34
1,.1296,.2592,.1296,.34
1,.1296,.2592,.1296,.34
1,1,1,1,1
