,1,2,2
1,.25,.17,.12
1,.25,.17,.12
1,.25,.17,.12
1,.25,.17,.12
1,.25,.17,.12
1,.25,.17,.12
1,.25,.17,.12
1,.22,.17,.12
1,.22,.17,.12
1,.22,.17,.12
1,.16,.17,.18
1,.178,.17,.1
1,.19,.16,.1
1,.17,.15,.12
1,.155,.1,.12
1,.175,.13,.12
1,.16,.15,.12
1,.108,.15,.12
1,.18,.15,.1
1,.14,.15,.1
1,.185,.15,.1
1,.108,.15,.1
1,.115,.15,.1
1,.168,.15,.1
1,.135,.15,.1
1,.116,.15,.1
1,.17,.15,.08
1,.14,.15,.09
1,.18,.15,.09
1,.125,.15,.09
1,.108,.06,.09
1,.07,.05,.09
1,.11,.095,.09
1,.13,.125,.09
1,.075,.017,.09
1,.104,.14,.09
1,.122,.1,.08
1,.055,.14,.08
1,.115,.2,.1
1,.21,.125,.08
1,.16,.09,.06
1,.16,.09,.06
1,.16,.09,.06
1,.16,.09,.06
1,.16,.09,.06
1,.16,.09,.06
1,.16,.09,.06
1,.16,.09,.06
1,.16,.09,.06
1,.16,.096,.06
1,.16,.09,.06
1,.16,.09,.06
1,.16,.09,.06
1,.16,.09,.06
1,.16,.09,.06
