,24,5,5
18,0,0,0
1,.1,.08,.6
1,.1,.08,.6
1,.1,.08,.6
1,.1,.08,.6
1,.1,.08,.6
1,.07,.08,.6
1,.07,.08,.6
1,.07,.08,.6
1,.07,.08,.6
1,.07,.08,.6
1,.07,.08,.6
1,.07,.08,.6
1,.07,.08,.6
1,.07,.16,.6
1,.07,.16,.6
1,.07,.16,.6
1,.15,.28,.4
1,.15,.35,.2
1,.15,.2,.05
1,.15,.13,.05
1,.15,.13,.05
1,.15,.13,.05
1,.15,.13,.05
1,.12,.12,.12
1,.12,.12,.12
1,.12,.12,.12
1,.12,.12,.12
1,.12,.16,.2
1,.12,.16,.18
1,.12,.16,.18
1,.12,.16,.18
1,.12,.16,.28
1,.12,.16,.28
1,.12,.16,.2
1,.12,.16,.2
1,.12,.16,.2
1,.12,.16,.2
