,1,1,1,1,1,1
5,.1,.07,.0325,.03,.0275,.027
1,.1,.07,.0325,.03,.0275,.027
1,.1,.07,.0325,.03,.0275,.027
1,.1,.07,.0325,.03,.0275,.027
1,.1,.07,.0325,.03,.0275,.027
1,.1,.07,.0325,.03,.0275,.027
1,.1,.07,.0325,.03,.0275,.027
1,.1,.07,.0325,.03,.0275,.0261
1,.1,.07,.0325,.03,.0275,.0236
1,.1,.07,.0325,.03,.0275,.0213
1,.1,.07,.0325,.03,.0275,.0191
1,.1,.07,.0325,.03,.0275,.017
1,.1,.07,.0325,.03,.0275,.0152
1,.1,.07,.0325,.03,.0275,.0136
1,.1,.07,.0325,.03,.0275,.0122
1,.1,.07,.0325,.03,.0275,.0113
1,.1,.07,.0325,.03,.0275,.0105
1,.1,.07,.0325,.03,.0275,.0098
1,.1,.07,.0325,.03,.0275,.0092
1,.1,.07,.0325,.03,.0275,.0085
1,.1,.07,.0325,.03,.0275,.0079
1,.1,.07,.0325,.03,.0275,.0072
1,.1,.07,.0325,.03,.0275,.0065
1,.1,.07,.0325,.03,.0275,.0058
1,.1,.07,.0325,.03,.0275,.0052
1,.1,.07,.0325,.03,.0275,.0046
1,.1,.07,.0325,.03,.0275,.0038
1,.1,.07,.0325,.03,.0275,.0033
1,.1,.07,.0325,.03,.0275,.0029
1,.1,.07,.0325,.03,.0275,.0028
1,.1,.07,.0325,.03,.0275,.0023
1,.1,.07,.0325,.03,.0275,.0025
1,.1,.07,.0325,.03,.0275,.0019
1,.1,.07,.0325,.03,.0275,.0019
1,.1,.07,.0325,.03,.0275,.0018
1,.1,.07,.0325,.03,.0275,.0017
