,1,,,,,,,,
3,0,,,,,,,,
1,4,,,,,,,,
1,1,,,,,,,,
1,2,,,,,,,,
1,6,,,,,,,,
1,13,,,,,,,,
1,10,,,,,,,,
1,19,,,,,,,,
1,49,,,,,,,,
1,54,,,,,,,,
1,96,,,,,,,,
1,108,,,,,,,,
1,134,,,,,,,,
1,153,,,,,,,,
1,180,,,,,,,,
1,185,,,,,,,,
1,209,,,,,,,,
1,241,,,,,,,,
1,248,,,,,,,,
1,316,,,,,,,,
1,341,,,,,,,,
1,330,,,,,,,,
1,306,,,,,,,,
1,373,,,,,,,,
1,392,,,,,,,,
1,396,,,,,,,,
1,455,,,,,,,,
1,487,,,,,,,,
1,499,,,,,,,,
1,540,,,,,,,,
1,593,,,,,,,,
1,640,,,,,,,,
1,738,,,,,,,,
1,988,,,,,,,,
1,1377,,,,,,,,
1,1908,,,,,,,,
1,2656,,,,,,,,
1,3734,,,,,,,,
1,5170,,,,,,,,
1,6573,,,,,,,,
1,7555,,,,,,,,
1,8540,,,,,,,,
1,9154,,,,,,,,
1,10665,,,,,,,,
1,9090,,,,,,,,
1,7406,,,,,,,,
1,7116,,,,,,,,
1,7493,,,,,,,,
1,7156,,,,,,,,
1,6163,,,,,,,,
1,5459,,,,,,,,
1,5100,,,,,,,,
1,4983,,,,,,,,
1,4694,,,,,,,,
1,4514,,,,,,,,
1,4240,,,,,,,,
1,3923,,,,,,,,
1,3733,,,,,,,,
1,3866,,,,,,,,
1,3756,,,,,,,,
1,3466,,,,,,,,
1,3134,,,,,,,,
1,3052,,,,,,,,
1,2822,,,,,,,,
1,2495,,,,,,,,
1,2171,,,,,,,,
1,1936,,,,,,,,
1,1552,,,,,,,,
1,1345,,,,,,,,
1,1177,,,,,,,,
1,1007,,,,,,,,
1,685,,,,,,,,
1,652,,,,,,,,
1,488,,,,,,,,
1,351,,,,,,,,
1,241,,,,,,,,
1,190,,,,,,,,
1,131,,,,,,,,
1,88,,,,,,,,
1,51,,,,,,,,
1,38,,,,,,,,
1,24,,,,,,,,
1,9,,,,,,,,
1,8,,,,,,,,
1,6,,,,,,,,
1,2,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
