,1
10,0
1,1
1,1
1,2
1,8
1,1
1,9
1,14
1,15
1,16
1,25
1,35
1,36
1,34
1,35
1,51
1,56
1,61
1,66
1,77
1,105
1,130
1,126
1,118
1,174
1,243
1,804
1,1299
1,2003
1,2810
1,3914
1,5540
1,7701
1,9844
1,12662
1,10109
1,10294
1,10613
1,11241
1,9791
1,8781
1,8266
1,7901
1,7690
1,7064
1,6752
1,6582
1,6115
1,5938
1,5976
1,5720
1,5369
1,5091
1,4757
1,4244
1,4138
1,3617
1,3175
1,2779
1,2564
1,2269
1,1779
1,1431
1,1140
1,858
1,692
1,538
1,426
1,261
1,188
1,144
1,98
1,40
1,38
1,25
1,14
1,3
1,5
1,0
1,0
1,0
1,0
1,0
1,1
