,1
25,3927.91
1,8330.98
1,4606.59
1,7296.13
1,26268.16
1,179357.1
1,232019.2
1,305116.1
1,352164.9
1,378862.5
1,732591.8
1,1099618
1,1440449
1,1740102
1,1844864
1,1988285
1,2045873
1,1796272
1,1988349
1,2091030
1,1964438
1,2013638
1,2114860
1,2493719
1,2700760
1,3193993
1,2249360
1,2252737
1,1901482
1,1724713
1,1633509
1,1417727
1,1124483
1,1145361
1,785103.7
1,747016.8
1,764397.9
1,526293.4
1,451452.8
1,479200.6
1,397487.5
1,361511.5
1,326247.1
1,237912.4
1,217572.8
1,299002.5
1,273599.8
1,238109
1,200219.5
1,193997
1,141732.2
1,70703.97
1,28136.58
1,8187.37
1,31815.9
1,17517.21
1,15376.18
