,9,9
1,.46,0
1,.42,0
1,.38,0
1,.35,.1
1,.32,.1
1,.29,.1
1,.27,.1
1,.25,.1
1,.23,.1
1,.21,.1
1,.2,.1
1,.2,.1
1,.2,.1
1,.2,.08
1,.2,.08
1,.2,.08
1,.18,.06
1,.18,.06
1,.18,.06
1,.18,.06
1,.18,.05
1,.18,.05
1,.18,.05
1,.18,.05
1,.18,.06
1,.17,.06
1,.17,.06
1,.17,.06
1,.17,.06
1,.17,.07
1,.13,.07
1,.13,.07
1,.13,.07
1,.13,.07
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
1,.13,.1
