,20,1,1,1,1,1
25,.25,0,0,0,0,0
1,.25,.28,0,0,0,0
1,.25,.28,.35,0,0,0
1,.25,.28,.35,.35,0,0
1,.25,.28,.3,.35,.4,0
1,.25,.28,.3,.35,.4,.5
1,.25,.28,.3,.35,.4,.5
1,.25,.28,.3,.35,.4,.5
1,.3,.3,.3,.35,.35,.35
1,.3,.3,.3,.35,.35,.35
1,.3,.3,.3,.3,.35,.35
1,.25,.25,.25,.25,.25,.25
1,.25,.25,.25,.25,.25,.25
1,.3,.3,.3,.3,.3,.3
1,.25,.25,.25,.25,.25,.25
1,.25,.25,.25,.25,.25,.25
1,.2,.2,.2,.2,.2,.2
1,.2,.2,.2,.2,.2,.2
1,.25,.25,.25,.25,.25,.25
1,.25,.25,.25,.25,.25,.25
1,.25,.25,.25,.25,.25,.25
1,1,1,1,1,1,1
