ppd_id,fy,EEGroupID,TierID,source_ActLiabilities,notes_ActLiabilities,PVFB_InactiveNonVested,PVFB_active,PVFB_InactiveVested,PVFB_retiree,PVFB_other,PVFB_tot,PVFNC_tot,PVFNC_EE,PVFNC_ER,PVFS,MktAssets_ActRpt,ActAssets_AVA,ActLiabilities_EAN,ActLiabilities_PUC
1,2012,1,0,,,,,,,,,,,,,,,,
1,2012,2,0,,,,,,,,,,,,,,,,
1,2012,4,0,,,,,,,,,,,,,,,,
1,2012,3,0,,,,,,,,,,,,,,,,
3,2012,1,0,,,,,,,,,,,,,,,,
3,2012,2,0,,,,,,,,,,,,,,,,
6,2012,5,0,,,,,,,,,,,,,,,,
6,2012,1,0,,,,,,,,,,,,,,,,
6,2012,2,0,,,,,,,,,,,,,,,,
6,2012,6,0,,,,,,,,,,,,,,,,
6,2012,3,0,,,,,,,,,,,,,,,,
6,2012,4,0,,,,,,,,,,,,,,,,
7,2012,2,0,,,,,,,,,,,,,,,,
7,2012,1,0,,,,,,,,,,,,,,,,
7,2012,3,0,,,,,,,,,,,,,,,,
9,2011,6,0,2012 CALPERS S&S AV p 36: Development of Accrued and Unfunded Liabilities. p 37: Development of Employer Contribution Rates,,,2365018.3,,1436115.8,,,3801134,372925.97,459804.66,,2168103.5,2580172.3,2968403.3,
9,2011,1,0,,"To apportion the liability data for Miscellaneous Tier 1&2 combined to Tier 1 and Tier 2 individually, we use the relative proportions of payroll (active PVFB) and benefits (retiree PVFB) in Miscellaneous Tier 1 and Tier 2.",,45080676,,47124456,,,90838264,4925834.5,5694604,,53979980,64659764,81424888,
9,2011,4,0,,"To apportion the liability data for Industrial Tier 1&2 combined to Tier 1 and Tier 2 individually, we assume that the proportions for Industrial Tier 1 and Tier 2 follow those of Miscellaneous Tier 1 and Tier 2.",,2271415.3,,1420478.8,,,3650692.3,358166.28,441606.47,,2113627,2515342,2893818.3,
9,2011,3,0,2012 CALPERS S&S AV p 36: Development of Accrued and Unfunded Liabilities. p 37: Development of Employer Contribution Rates,,,46938412,,47643212,,,94581624,5128823.5,5929273,,55371256,66326304,83523528,
9,2011,2,0,,"To apportion the liability data for Miscellaneous Tier 1&2 combined to Tier 1 and Tier 2 individually, we use the relative proportions of payroll (active PVFB) and benefits (retiree PVFB) in Miscellaneous Tier 1 and Tier 2.",,1857733.6,,518756.56,,,3743362,202989.16,234669.44,,1391277.1,1666537.4,2098640.8,
9,2011,5,0,,"To apportion the liability data for Industrial Tier 1&2 combined to Tier 1 and Tier 2 individually, we assume that the proportions for Industrial Tier 1 and Tier 2 follow those of Miscellaneous Tier 1 and Tier 2.",,93602.961,,15636.948,,,150441.7,14759.706,18198.201,,54476.508,64830.289,74585.117,
9,2012,14,0,,,,1707548.8,253640.88,1299152.9,,,3260342.5,256509.33,323651.63,,1849406.3,2178799.8,2680181.5,
9,2012,5,0,,,,,,,,,,,,,,,,
9,2012,10,0,2012 CALPERS S&S AV p 36: Development of Accrued and Unfunded Liabilities. p 37: Development of Employer Contribution Rates,,,40240388,,29464644,,,69705032,5220898,5045001,,44853804,53791228,59439132,
9,2012,3,0,,,,,,,,,,,,,,,,
9,2012,15,0,,,,700040.5,97156.297,499520.09,,,1296716.9,90190.555,124563.8,,769302.5,903410.94,1081962.5,
