ppd_id,PlanName,EEGroupID,EEGroupName_check,TierID,TierHireDate_check,BenefitID_BC,fy_start,fy_end,Notes,BenCap_RetAge,BenCap_RetTenure,BenCap_RetPoints,BenCap_RetDate,BenCap_StartDate,BenCap_EndDate,BenCap_ReplacementRate,BenCap_Salary,BenCap_SalaryIndexed,BenCap_benefit,BenCap_BenefitIndexed,NumberofEEGroups,MultipleEEGroupsCoded,EEGroupID_Error,NumberofTiers,MultipleTiersCoded,TierID_Error,NumberofFiscalYears,fy
1,Alabama ERS,1,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,1,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2013
1,Alabama ERS,1,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2014
1,Alabama ERS,1,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2015
1,Alabama ERS,1,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,1,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2013
1,Alabama ERS,1,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2014
1,Alabama ERS,1,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2015
1,Alabama ERS,2,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,2,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2013
1,Alabama ERS,2,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2014
1,Alabama ERS,2,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2015
1,Alabama ERS,2,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,2,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2013
1,Alabama ERS,2,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2014
1,Alabama ERS,2,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2015
1,Alabama ERS,3,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,3,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2013
1,Alabama ERS,3,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2014
1,Alabama ERS,3,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2015
1,Alabama ERS,3,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,3,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2013
1,Alabama ERS,3,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2014
1,Alabama ERS,3,ALL,2,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2015
1,Alabama ERS,4,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2012
1,Alabama ERS,4,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2013
1,Alabama ERS,4,ALL,1,,1,2012,9999,,,,,,,,.8,,,,,4,0,0,2,0,0,4,2014
