ppd_id,PlanName_check,EEGroupID,EEGroupName,source_EEGroupBasics,notes_EEGroupBasics,initials_EEGroupBasics_check,EEGroupType,EEGroupTypesCovered,EEStateorLocalEmployeesOnly,EEGroupSocSecCovered,EEGroupEmployerType,EEGroupCostSharing,EEGroupCostStructure_check,EEGroupCostStructure,EEGroupInceptionYear,EEGroupClosed,EEGroupYearClosed
1,Alabama ERS,1,General State Employees,,,,1,,1,Plan covers state and local employees,"Multiple employer, agent plan",1,0,"cost-sharing, multiemployer",1945,0,0
1,Alabama ERS,2,State Police,,,,3,,1,Plan covers state and local employees,"Multiple employer, agent plan",1,0,"cost-sharing, multiemployer",1945,0,0
1,Alabama ERS,3,General Local Employees,,,,1,,2,Plan covers state and local employees,"Multiple employer, agent plan",2,0,"agent, multiemployer",1945,0,0
1,Alabama ERS,4,Local Police and Fire,,,,3,,2,Plan covers state and local employees,"Multiple employer, agent plan",2,0,"agent, multiemployer",1945,0,0
2,Alabama Teachers,0,Teachers,,,,2,,,Plan covers teachers,"Multiple employer, cost sharing plan",2,1,"agent, multiemployer",1939,0,0
3,Alaska PERS,1,Others,,,,1,,,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,Plan members not covered by Social Security,1961,1,2006
3,Alaska PERS,2,Peace Officers,,,,3,,,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,Plan members not covered by Social Security,1961,1,2006
4,Alaska Teachers,0,Teachers,,,,2,,,Plan covers teachers,"Multiple employer, cost sharing plan",2,1,Plan members not covered by Social Security,1955,1,2006
5,Arizona Public Safety Personnel,0,All Groups,,,,3,,,Plan covers police and/or fire,"Multiple employer, agent plan",2,0,Plan members covered by Social Security,1968,0,0
6,Arizona SRS,1,Higher Education,,,,2,,,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,"agent, multiemployer",1953,0,0
6,Arizona SRS,2,Other Education,,,,2,,,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,"agent, multiemployer",1953,0,0
6,Arizona SRS,3,City Employees,,,,1,,2,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,"agent, multiemployer",1953,0,0
6,Arizona SRS,4,County Employees,,,,1,,2,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,"agent, multiemployer",1953,0,0
6,Arizona SRS,5,State Employees,,,,1,,1,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,"agent, multiemployer",1953,0,0
6,Arizona SRS,6,Political Subdivisions,,,,1,,2,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,"agent, multiemployer",1953,0,0
7,Arkansas PERS,1,General State and Local,,,,1,,,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,Plan members covered by Social Security,1957,0,0
7,Arkansas PERS,2,General Assembly,,,,4,,,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,Plan members covered by Social Security,1957,0,0
7,Arkansas PERS,3,Judges,,,,8,,,Plan covers state and local employees,"Multiple employer, cost sharing plan",2,1,Plan members covered by Social Security,1957,0,0
8,Arkansas Teachers,0,All Employees,,,,2,,,Plan covers teachers,"Multiple employer, cost sharing plan",2,1,Plan members covered by Social Security,1937,0,0
9,California PERF,1,State Miscellaneous - Tier 1,,,,1,,1,Plan covers state and local employees,"Multiple employer, agent plan",1,0,"cost-sharing, multiemployer",1932,0,0
9,California PERF,2,State Miscellaneous - Tier 2,,,,1,,1,Plan covers state and local employees,"Multiple employer, agent plan",1,0,"cost-sharing, multiemployer",1932,0,0
9,California PERF,4,State Industrial - Tier 1,,,,1,,1,Plan covers state and local employees,"Multiple employer, agent plan",1,0,"cost-sharing, multiemployer",1932,0,0
9,California PERF,5,State Industrial - Tier 2,,,,1,,1,Plan covers state and local employees,"Multiple employer, agent plan",1,0,"cost-sharing, multiemployer",1932,0,0
9,California PERF,7,State Safety,,,,3,,1,Plan covers state and local employees,"Multiple employer, agent plan",1,0,"cost-sharing, multiemployer",1932,0,0
