PlanName,DataEntryCode,source_FundingAndMethods,notes_FundingAndMethods,initials_FundingAndMethods,AssetValMeth,PhaseIn,AssetValMeth_note,ActCostMeth,ActCostMeth_note,FundingMeth,FundingMeth_note,ppd_id,EEGroupID,TierID,fy,scaled_check,MktAssets_Smooth,ActAssets_Smooth,NetFlows_smooth,AssetValMethCode,SmoothingReset,GainlossConcept,GainLossBase_1,GainLossBase_2,GainLoss,GainLossPeriod,PhaseInPercent,PhaseInPeriods,PhaseInType,GainLossRecognition,AssetSmoothingBaseline,ExpectedReturnMethod,AddSubtractGainLoss,UpperCorridor,LowerCorridor,ActCostMethCode,FundMethCode_1,FundMethCode_2,PayrollGrowthAssumption,TotAmortPeriod,RemainingAmortPeriod,UAALYearEstablished,WageInflation
Alabama ERS,,,,,,,,,,,,1,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,,,,,,,,,,,1,0,0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,,,,,,,,,,,1,0,0,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,,,,,,,,,,,1,0,0,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,,,,,,,,,,,1,0,0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,,,,,,,,,,,1,0,0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,,,,,,,,,,,1,0,0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,,,,,,,,,,,1,0,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,,,,,,,,,,,1,0,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,,,,,,,,,,,1,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,,,,,,,,,,,1,0,0,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama ERS,,p. 29 DEVELOPMENT OF THE ACTUARIAL VALUE OF ASSETS,Total - ALL GROUPS,jp,Smoothed 5-year,,,,,,,1,0,0,2012,0,9116551.305,9116551.305,-372620.296,0,1,0,1,2,,0,.2,5,0,0,4,1,1,,,,,,.0325,,,,.0325
Alabama ERS,,p. 30 DEVELOPMENT OF THE ACTUARIAL VALUE OF ASSETS,Total - ALL GROUPS,jp,Smoothed 5-year,116627.041;0;0;0;0,,,,,,1,0,0,2013,0,10012966.727,9546458.562999999,-404298.578,0,0,0,1,2,583135.205,0,.2,5,0,0,4,1,1,,,,,,.0325,,,,.0325
Alabama ERS,,p. 30 DEVELOPMENT OF THE ACTUARIAL VALUE OF ASSETS,Total - ALL GROUPS,jp/cc,Smoothed 5-year,79661.740;116627.041;0;0;0,,,,,,1,0,0,2014,0,10803109.967,10134581.263,-393234.668,0,0,0,1,2,398308.701,0,.2,5,0,0,4,1,1,,,,,,.0325,,,,.0325
Alabama ERS,,2015 AV p. 30 DEVELOPMENT OF THE ACTUARIAL VALUE OF ASSETS,Total - ALL GROUPS,CM,Smoothed 5-year,-144060.803;79661.740;116627.041;0;0,,,,,,1,0,0,2015,0,10485255.746,10589258.416,-448240.411,0,0,0,1,,-720304.016,0,.2,5,0,0,4,1,1,,,,,,.0325,,,,.0325
Alabama ERS,1,,,TP,,,,,,,,1,0,0,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,,,,,,,,,,,2,0,0,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Teachers,,p. 19 DEVELOPMENT OF THE ACTUARIAL VALUE OF ASSETS,,jp,,,,,,,,2,0,0,2012,0,18786008.955,18786008.955,-809392.406,0,1,0,1,2,,0,.2,5,0,0,4,1,1,,,,,,.0325,,,,.0325
Alabama Teachers,,p. 21 DEVELOPMENT OF THE ACTUARIAL VALUE OF ASSETS,,jp,,252980.847;0;0;0;0,,,,,,2,0,0,2013,0,20641739.259,19629815.869,-886434.075,0,1,0,1,2,,0,.2,5,0,0,4,1,1,,,,,,.0325,,,,.0325
Alabama Teachers,,p. 21 DEVELOPMENT OF THE ACTUARIAL VALUE OF ASSETS,,jp,,"171,251.071;252980.847;0;0;0",,,,,,2,0,0,2014,0,22253817.957,20809871.128,-869698.703,0,1,0,1,2,856255.357,0,.2,5,0,0,4,1,1,,,,,,.0325,,,,.0325
Alabama Teachers,,2015 AV p. 21 DEVELOPMENT OF THE ACTUARIAL VALUE OF ASSETS,,CM,,"-296335.495;171,251.071;252980.847;0;0",,,,,,2,0,0,2015,0,21574652.72,21740279.791,-949739.888,0,1,0,1,2,-1481677.477,0,.2,5,0,0,4,1,1,,,,,,.0325,,,,.0325
Alabama Teachers,1,,,TP,,,,,,,,2,0,0,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
