PlanName,DataEntryCode,source_IncomeStatement,notes_IncomeStatement,initials_IncomeStatement_check,FVChange_SecLend,expense_SecLendMgmtFees,FVChange_SecLend_UG,CAFR_check,AV_check,LastYearOfData_check,ppd_id,EEGroupID,TierID,fy,contrib_EE_regular,contrib_ER_regular,contrib_ER_state,contrib_EE_PurchaseService,contrib_EE_other,contrib_ER_other,contrib_other,contrib_tot,FairValueChange_investments,FairValueChange_RealEstate,income_interest,income_dividends,income_InterestAndDividends,income_RealEstate,income_PrivateEquity,income_alternatives,income_international,income_OtherInvestments,expense_RealEstate,expense_PrivateEquity,expense_alternatives,expense_OtherInvestments,expense_investments,income_SecuritiesLending,expense_SecuritiesLending,income_SecuritiesLendingRebate,income_OtherAdditions,income_net,expense_TotBenefits,expense_RetBenefits,expense_DisabilityBenefits,expense_DeathBenefits,expense_DROPBenefits,expense_SurvivorBenefits,expense_COLABenefits,expense_LumpSumBenefits,expense_OtherBenefits,expense_refunds,expense_AdminExpenses,expense_Depreciation,expense_OtherDeductions,expense_net,adjustment_MktAssets,MktAssets_net
Alabama ERS,,,,kn,,-385,,,,,1,0,0,2001,130965,122483,,,,,1273,254721,-874433,,,,343517,,,,,,,,,,-1593,20922,-19381,-18996,,-276247,-396621,-371715,,,,,,,-24906,-1544,-4578,-330,-2530,-405603,,7236735
Alabama ERS,,,,kn,,-333,,,,,1,0,0,2002,149130,123887,,,,,2091,275108,-953188,,,,297845,,,,,,,,,,-2331,5741,-4427,-4094,,-381252,-414821,-389856,,,,,,,-24965,-8388,-5582,-235,-2022,-431048,,6424435
Alabama ERS,,,,kn,,-266,,,,,1,0,0,2003,159763,154218,,,,,2521,316502,668539,,,,271698,,,,,,,,,,-2380,3461,-2397,-2131,,1255423,-448083,-423027,,,,,,,-25056,-820,-5843,-278,-2022,-457046,,7222812
Alabama ERS,,,,kn,,-283,,,,,1,0,0,2004,166973,170713,,,,,1575,339261,457981,,,,268876,,,,,,,,,,-2390,4892,-3601,-3318,,1065019,-480064,-448658,,,,,,,-31406,-3798,-5892,-269,-2210,-492233,,7795598
Alabama ERS,,,,kn,,-448,,,,,1,0,0,2005,158128,195846,,,,,2185,356159,545826,,,,295631,,,,,,,,,,-2652,17604,-15396,-14948,,1197172,-518308,-487348,,,,,,,-30960,,-6898,-294,-2755,-528255,,8464515
Alabama ERS,,,,kn,,-504,,,,,1,0,0,2006,184144,241750,,,,,2982,428876,375025,,,,329459,,,,,,,,,,-3216,35407,-33071,-32567,,1132480,-583573,-551793,,,,,,,-31780,,-7850,-337,-3368,-595128,,9001867
Alabama ERS,,,,kn,,-727,,,,,1,0,0,2007,181734,277254,,,,,2406,461394,1249495,,,,347272,,,,,,,,,,-3725,58925,-55375,-54648,,2057986,-647490,-615661,,,,,,,-31829,,-7813,-298,-3034,-658635,,10401218
Alabama ERS,,,,cmg,,-1988,,,,,1,0,0,2008,189785,329339,,,,,1869,520993,-1919746,,,,339578,,,,,,,,,,-3747,38458,-28637,-26649,,-1053101,-686854,-655467,,,,,,,-31387,,-9892,-311,-3355,-700412,,8647705
Alabama ERS,,,,cmg,,-1994,,,,,1,0,0,2009,208446,451139,,,,,1835,661420,-1180523,,,,285022,,,,,,,,,,-2651,15335,-5064,-3070,,-226461,-728070,-695430,,,,,,,-32640,-14,-9413,,-4742,-742239,,7679005
Alabama ERS,,,,jp,,-1305,,1,1,,1,0,0,2010,194968,377898,,,,,1790,574656,427365,,,,268667,,,,,,,,,,-2398,5619,-2576,-1271,,1271333,-759528,-725660,,,,,,,-33868,,-10334,-2111,-1633,-773606,,8176732
Alabama ERS,,,,cmg,,-1521,,,,,1,0,0,2011,193697,394998,,,,,2012,590707,-112758,,,,307152,,,,,,,,,,-2308,6891,-2038,-517,,787646,-819755,-782957,,,,,,,-36798,,-10002,-2029,-2157,-833943,,8130435
Alabama ERS,,,,JFP,,-1642,,,,,1,0,0,2012,214933,317520,,,,,1937,534390,1114737,,,,310748,,,,,,,,,,-2256,6445,-1816,-174,,1962248,-889210,-848464,,,,,,,-40746,,-10616,-1981,-2180,-903987,,9188696
Alabama ERS,,,,CM ,,-1519,,,,,1,0,0,2013,221823,338819,,,,,1823,562465,984714,,,,310200,,,,,,,,,,-2549,5780,-1705,-186,,1858925,-940312,-895475,,,,,,,-44837,,-9767,-2015,-3587,-955681,,10091940
Alabama ERS,,,,CM,,-1235,,,,,1,0,0,2014,223135,391181,,,,,2881,617197,888303,,,,298049,,,,,,,,,,-2766,4199,-1256,-21,,1803726,-996414,-948478,,,,,,,-47936,,-9612,-2055,-3632,-1011714,,10883952
Alabama ERS,,2015 CAFR P 26,,CM,,-1290,,,,,1,0,0,2015,225767,410932,,,,,3487,640186,-186154,,,,311516,,,,,,,,,,-2771,5353,-1454,-164,,766676,-1069539,-1018515,,,,,,,-51024,,-11136,-2046,-4059,-1086780,-11944,10551904
Alabama ERS,,2016 CAFR P 28,,TP,,-1416,,,,,1,0,0,2016,231794,435098,,,,,6223,673115,753836,,,,297369,,,,,,,,,,-2883,7481,-2772,-1356,,1726146,-1084285,-1038517,,,,,,,-45768,,-11002,-2021,-3668,-1100976,,11177074
Alabama Teachers,,,,cmg,,-795,,,,,2,0,0,2001,228088,279880,,,,,2530,510498,-1860162,,,,769739,,,,,,,,,,-3467,43671,-40487,-39692,,-580208,-846052,-811896,,,,,,,-34156,,-6023,-1002,-1207,-854284,,15814533
Alabama Teachers,,,,cmg,,-784,,,,,2,0,0,2002,233789,265670,,,,,1937,501396,-1915592,,,,672200,,,,,,,,,,-4592,16473,-13246,-12462,,-743361,-893893,-858383,,,,,,,-35510,,-6845,-391,-2091,-903220,,14167952
Alabama Teachers,,,,cmg,,-832,,,,,2,0,0,2003,249996,235786,,,,,2022,487804,1412887,,,,592645,,,,,,,,,,-4432,14215,-10884,-10052,,2492235,-964771,-932687,,,,,,,-32084,,-7011,-367,-2418,-974567,,15685620
Alabama Teachers,,,,cmg,,-630,,,,,2,0,0,2004,251714,312474,,,,,2146,566334,1055525,,,,580000,,,,,,,,,,-4079,10704,-7836,-7206,,2200648,-1023744,-987761,,,,,,,-35983,,-7361,-439,-1575,-1033119,,16853149
Alabama Teachers,,,,cmg,,-1620,,,,,2,0,0,2005,260149,347862,,,,,2707,610718,1221059,,,,624397,,,,,,,,,,-4278,40399,-35179,-33559,,2457116,-1129073,-1092723,,,,,,,-36350,,-10372,-468,-1829,-1141742,,18168523
Alabama Teachers,,,,cmg,,-1271,,,,,2,0,0,2006,278220,434195,,,,,3235,715650,878743,,,,703189,,,,,,,,,,-4947,84052,-78678,-77407,,2298009,-1243934,-1207251,,,,,,,-36683,,-11325,-462,-3008,-1258729,,19207803
Alabama Teachers,,,,cmg,,-1770,,,,,2,0,0,2007,302272,540847,,,,,2814,845933,2589858,,,,719910,,,,,,,,,,-5105,136869,-128736,-126966,,4158729,-1435282,-1397808,,,,,,,-37474,,-9614,-480,-2406,-1447782,,21918750
Alabama Teachers,,,,cmg,,-4332,,,,,2,0,0,2008,323822,729995,,,,,3182,1056999,-4057823,,,,705555,,,,,,,,,,-5990,83588,-62027,-57695,,-2279698,-1524188,-1486871,,,,,,,-37317,,-12216,-578,-1683,-1538665,,18100387
Alabama Teachers,,,,cmg,,,,,,,2,0,0,2009,321100,753518,,,,,2606,1077224,-2083048,,,,580656,,,,,,,,,,-5419,33782,-11097,,,-407902,-1554597,-1512260,,,,,,,-42337,,-11005,,-5895,-1571497,,16120988
Alabama Teachers,,,,jp,,-2910,,1,1,,2,0,0,2010,319770,776421,,,,,1633,1097824,886997,,,,559941,,,,,,,,,,-5415,12519,-5730,-2820,,2546136,-1611418,-1567790,,,,,,,-43628,,-11979,-4264,-1790,-1629451,,17037673
Alabama Teachers,,,,cmg,,-3251,,,,,2,0,0,2011,321137,779644,,,,,2059,1102840,-278407,,,,624546,,,,,,,,,,-5305,15643,-4512,-1261,,1454805,-1723185,-1673881,,,,,,,-49304,,-10820,-4243,-2012,-1740260,,16752218
Alabama Teachers,,,,JFP,,-3465,,,,,2,0,0,2012,456518,618306,,,,,2016,1076840,2349955,,,,634695,,,,,,,,,,-5260,13670,-3898,-433,,4066002,-1850258,-1800805,,,,,,,-49453,,-11555,-4344,-1937,-1868094,,18950126
Alabama Teachers,,,,CM,,-3346,,,,,2,0,0,2013,474241,627892,,,,,3345,1105478,2090646,,,,638766,,,,,,,,,,-5712,12753,-3747,-401,,3838184,-1949212,-1893321,,,,,,,-55891,,-12591,-4312,-1823,-1967938,,20820372
Alabama Teachers,,,,CM,,-2829,,,,,2,0,0,2014,477300,739547,,,,,3549,1220396,1853288,,,,618861,,,,,,,,,,-5732,9629,-2894,-65,,3693548,-2052294,-1997595,,,,,,,-54699,,-13103,-4336,-2880,-2072613,,22441307
Alabama Teachers,,2015 CAFR P 26,,CM,,-2782,,,,,2,0,0,2015,473903,737671,,,,,4015,1215589,-381400,,,,640910,,,,,,,,,,-6407,11512,-3147,-365,,1477057,-2133362,-2075302,,,,,,,-58060,,-15074,-4258,-3432,-2156126,-14507,21747731
Alabama Teachers,,2016 CAFR P 28,,TP,,-3044,,,,,2,0,0,2016,472390,751902,,,,,3590,1227882,1589279,,,,607795,,,,,,,,,,-7731,15930,-5869,-2825,,3427286,-2212914,-2155784,,,,,,,-57130,,-14873,-4709,-6223,-2238719,,22936298
Alaska PERS,,,,kn,,,,,,,3,0,0,2001,67537,68604,,,,,,136141,-558855,,125703,107221,232924,,,,,,,,,,-14123,,,,5,-203908,-259771,-259771,,,,,,,,-9339,-3322,,,-272432,,5796189
Alaska PERS,,,,kn,,,,,,,3,0,0,2002,71558,67385,,,,,,138943,-502081,,116210,79222,195432,,,,,,,,,,-12162,,,,73,-179795,-279731,-279731,,,,,,,,-9150,-3756,,,-292637,,5323757
Alaska PERS,,,,kn,,,,,,,3,0,0,2003,78889,69801,,,,,,148690,9723,,87690,80905,168595,,,,,,,,,,-11457,,,,69,315620,-307684,-307684,,,,,,,,-9165,-4138,,,-320987,,5318390
Alaska PERS,,,,kn,,,,,,,3,0,0,2004,83290,74178,,,,,,157468,591306,,82927,87121,170048,,,,,,,,,,-13421,,,,107,905508,-329390,-329390,,,,,,,,-10344,-3721,,,-343455,,5880443
Alaska PERS,,,,kn,,,,,,,3,0,0,2005,71312,110853,,,,,,182165,285594,,77430,87430,164860,,,,,,,,,,-19812,,,,9,612816,-357763,-357763,,,,,,,,-10318,-3114,,,-371195,,6122064
Alaska PERS,,,,kn,,,,,,,3,0,0,2006,71666,152198,11045,,,,,234909,424780,,72259,99085,171344,,,,,,,,,,-13510,20111,-18917,,20947,839664,-381672,-381672,,,,,,,,-8429,-3477,,,-393578,,6568150
Alaska PERS,,,,kn,,,,,,,3,0,0,2007,71023,196641,10898,,,,,278562,814276,,74433,138326,212759,,,,,,,,,,-13175,30765,-29216,,49,1294020,-410545,-410545,,,,,,,,-8575,-3663,,,-422783,,7439387
Alaska PERS,,,,kn,,,,,,,3,0,0,2008,120506,100323,50875,,,,0,271704,-707662,,130125,281043,411168,,,,,,,,,,-23089,39635,-35342,,47,-43539,-439123,-439123,,,,,,,,-14333,-6585,,,-460041,,6935808
Alaska PERS,,,,,,,,,,,3,0,0,2009,118815,192740,,,,,0,311555,-1942579,,84356,204301,288657,,,,,,,,,,-17885,,,,35,-1360217,-466085,-466085,,,,,,,,-12498,-6568,,,-485151,,5090440
Alaska PERS,,,,jp,,,,1,1,,3,0,0,2010,123066,142157,44460,,,,0,309683,424662,,43499,55298,98797,,,,,,,,,,-17416,,,,105,815831,-496015,-496015,,,,,,,,-12364,-6365,,,-514744,,5391527
Alaska PERS,,,,cmg,,,,,,,3,0,0,2011,116270,139075,65187,,,,0,320532,986899,,33532,101938,135470,,,,,,,,,,-22656,,,,97,1420342,-525277,-525277,,,,,,,,-11923,-6744,,,-543944,,6267925
Alaska PERS,,,,JFP,,,,,,,3,0,0,2012,112703,182695,130912,,,,0,426310,-127845,,34161,118652,152813,,,,,,,,,,-23318,,,,35,427995,-559977,-559977,,,,,,,,-10906,-6743,,,-577626,,6118294
Alaska PERS,,,,CM ,,,,,,,3,0,0,2013,110808,179976,164087,,,,0,454871,646379,,30058,88470,118528,,,,,,,,,,-26251,,,,28,1193555,-599318,-599318,,,,,,,,-10929,-7120,,,-617367,,6694482
Alaska PERS,,,,CM,,,,,,,3,0,0,2014,106565,206204,176794,,,,0,489563,1106071,,28788,103516,132304,,,,,,,,,,-30891,,,,49,1697096,-640518,-640518,,,,,,,,-11399,-8223,,,-660140,,7731438
Alaska PERS,,2015 AK PERS CAFR p 36,,TP,,,,,,,3,0,0,2015,100036,226136,1000000,,,,0,1326172,121302,,31908,118826,150734,,,,,,,,,,-18725,,,,36,1579519,-686493,-686493,,,,,,,,-10049,-7553,,,-704095,,8606862
