ppd_id,fy,EEGroupID,TierID,source_membership,notes_membership,beneficiaries_DisabilityRetirees,beneficiaries_DependentSurvivors,actives_tot,ActiveSalaries,ActiveAge_avg,ActiveTenure_avg,ActiveSalary_avg,InactiveVestedMembers,InactiveNonVested,beneficiaries_tot,benefits_tot,BeneficiaryAge_avg,BeneficiaryBenefit_avg,beneficiaries_ServiceRetirees,benefits_ServiceRetirees,ServiceRetireeAge_avg,ServiceRetireeBenefit_avg,ServiceRetAge_avg,ServiceRetTenure_avg,ServiceRetBenefit_avg,benefits_DisabilityRetirees,beneficiaries_survivors,beneficiaries_SpousalSurvivors,beneficiaries_other,DROPMembers,OtherMembers,TotMembership,ActiveSalary_avg_est,BeneficiaryBenefit_avg_est
1,2012,1,0,,,,,29548,1179824,,,,,,20618,419165.66,,,,,,,,,,,,,,,,,,
1,2012,2,0,,,,,777,44028.719,,,,,,839,36522.227,,,,,,,,,,,,,,,,,,
1,2012,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2012,3,0,,,,,53844,1900938.8,,,,,,19519,341978.09,,,,,,,,,,,,,,,,,,
3,2012,1,0,,,,,20566,1305337,50.41,13.26,63.471001,,,25644,488754.03,67.760002,19.059,,,,,,,,,,,,,,,,
3,2012,2,0,,,,,2164,197544,44.48,13.9,91.286003,,,2896,94924.336,64.290001,32.778,,,,,,,,,,,,,,,,
6,2012,5,0,,,,,25862,,47.5,10.6,46.119999,,30798,18835,314206.44,70.099998,,,,,,,18.4,,,,,,,,13899,,
6,2012,1,0,,,,,23129,,47,10,51.512001,,25782,13453,292410.94,71.099998,,,,,,,19.299999,,,,,,,,10800,,
6,2012,2,0,,,,,111273,,45,9.3000002,37.970001,,112464,61110,1252999.3,69.599998,,,,,,,20.4,,,,,,,,59919,,
6,2012,6,0,,,,,6124,,46.200001,7.6999998,57.466999,,3874,1451,27097.26,68.5,,,,,,,16.200001,,,,,,,,3701,,
6,2012,3,0,,,,,16549,,45.799999,10.2,54.841999,,11746,7249,158168.41,67.599998,,,,,,,19.200001,,,,,,,,12052,,
6,2012,4,0,,,,,21057,,47,9.8000002,47.486,,25396,12333,194074.36,70,,,,,,,17,,,,,,,,7994,,
7,2012,2,0,,,,,11,174.548,61.799999,14.2,15.868,59,,126,1964.46,,,,,,,,,,,,,,,,,,
7,2012,1,0,,,,,45926,1605879.9,44.799999,9.3000002,34.966999,12985,,27303,340758.41,,,,,,,,,,,,,,,,,,
7,2012,3,0,,,,,55,3374.9819,60.700001,7.3000002,61.362999,139,,134,1370.6121,,,,,,,,,,,,,,,,,,
9,2011,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2011,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2011,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2011,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2011,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2011,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2012,14,0,,,366,,6239,417600.03,45.68,9.46,66.933998,2861,,5278,96453.203,67.25,19.854,4387,,,21.441,,,,,525,,,,2554,,,
9,2012,5,0,,,154.9073177479596,,481.68274,21574.518,,,,100.60133,,318.01575,1290.4927,,,177.29465,568.4259,,,,,,1370.5403,31.241571,,,,1472.7235,1958.4911,,
9,2012,10,0,,,12657,,283003,9654303,47.5,,34.113998,167758,,195233,2733466.5,,,159772,2416984.8,,,,,,123021.83,22804,,,,225470,676231,,
9,2012,3,0,,,14458,,156332,9665138,,,,46347,,168948,4431890.5,,,129069,3752604.3,,,,,,183784.03,25421,,,,203802,406334,,
9,2012,15,0,,,147,,2249,153161.98,46.310001,10.34,68.101997,924,,2020,38589.121,67.860001,20.358,1632,,,22.388,,,,,241,,,,853,,,
9,2012,8,0,,,8290,,41250,2951833.8,42.5,,71.559998,6074,,28842,1344163.8,,,18362,981900.5,,,,,,292227.34,2190,,,,34079,81403,,
9,2012,9,0,,,3686,,7312,728467.38,39.900002,,99.625999,325,,8140,416933.81,,,3226,208729.67,,,,,,171377.72,1277,,,,8435,16072,,
9,2012,19,0,,,5237,,10035,947734.81,40.32,11.18,94.443001,2010,,14937,507302.81,64.260002,36.671001,8019,,,43.215,,,,,1681,,,,5007,,,
9,2012,17,0,,,398,,930,59986.23,38.43,8.6400003,64.500999,268,,1044,21895.836,64.43,20.125,523,,,21.645,,,,,123,,,,720,,,
9,2012,4,0,,,1420.092682252041,,10356.317,523537.81,,,,2884.3987,,10335.984,117229.88,,,7888.7056,103470.63,,,,,,11276.115,981.75842,,,,16754.277,30091.51,,
9,2012,7,0,,,4365,,23729,1789794.5,47.599998,,75.426003,5351,,19295,363081.44,,,12252,229388.33,,,,,,154874.44,2673,,,,24286,52902,,
9,2012,12,0,,,663,,11913,757045.69,45.939999,9.2200003,63.548,7431,,10169,139141.75,68.290001,16.621,8546,,,17.58,,,,,960,,,,5236,,,
9,2012,11,0,,,107,,3860,208517.13,45.110001,8.4099998,54.02,2414,,1769,23116.586,70.010002,13.972,1449,,,14.658,,,,,213,,,,1099,,,
9,2012,16,0,,,97,,367,21079.631,38.77,7.77,57.438,149,,248,2970.0669,61.310001,11.591,130,,,10.065,,,,,21,,,,308,,,
