system_id,RetirementSystemName,NumberofPlans,NumberofEmployers,RetirementSystemDesc,RetirementSystemStateAbbrev
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
1,Retirement Systems of Alabama,3,1141,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political su",AL
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
2,Alaska Public Employees Retirement System,1,156,Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investm,AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
3,Alaska Teachers Retirement System,1,58,"Alaska TRS administers pension and other benefits to certificated public school teachers and other designated employees of school districts, the state university, and the department of education. Legislation approved in 2005 transferred responsibility for",AK
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
4,Arizona Public Safety Personnel Retirement System,1,237,The Arizona PSPRS administers pension and other benefits for police and firefighters employed by the state and political subdivisions that have elected to participate.,AZ
5,Arizona State Retirement System,1,585,"ASRS administers pension and other benefits for most state employees, public and charter school teachers, and employees of other political subdivisions that have elected to participate. The state maintains separate plans for public safety personnel, corre",AZ
5,Arizona State Retirement System,1,585,"ASRS administers pension and other benefits for most state employees, public and charter school teachers, and employees of other political subdivisions that have elected to participate. The state maintains separate plans for public safety personnel, corre",AZ
5,Arizona State Retirement System,1,585,"ASRS administers pension and other benefits for most state employees, public and charter school teachers, and employees of other political subdivisions that have elected to participate. The state maintains separate plans for public safety personnel, corre",AZ
5,Arizona State Retirement System,1,585,"ASRS administers pension and other benefits for most state employees, public and charter school teachers, and employees of other political subdivisions that have elected to participate. The state maintains separate plans for public safety personnel, corre",AZ
5,Arizona State Retirement System,1,585,"ASRS administers pension and other benefits for most state employees, public and charter school teachers, and employees of other political subdivisions that have elected to participate. The state maintains separate plans for public safety personnel, corre",AZ
5,Arizona State Retirement System,1,585,"ASRS administers pension and other benefits for most state employees, public and charter school teachers, and employees of other political subdivisions that have elected to participate. The state maintains separate plans for public safety personnel, corre",AZ
