ppd_id,PlanName_check,EEGroupID,EEGroupName_check,TierID,TierName,TierDesc,TierHireDate,TierClosedDate,TierFutureAge,TierFutureTenure,TierFuturePoints,TierFutureDateStart,TierFutureDateEnd,notes_TierBasics,SubTierID,NumberofEEGroups,NumberofTiers,MultipleEEGroupsCoded,EEGroupID_Error,MultipleTiersCoded,TierID_Error
1,Alabama ERS,1,General State Employees,1,Tier 1,,1/1/1800,12/31/2012,,,,,,,,4,2,1,0,1,0
1,Alabama ERS,1,General State Employees,2,Tier 2,,  1/1/2013,  1/1/8000,,,,,,,,4,2,1,0,1,0
1,Alabama ERS,2,State Police,1,Tier 1,,1/1/1800,12/31/2012,,,,,,,,4,2,1,0,1,0
1,Alabama ERS,2,State Police,2,Tier 2,,  1/1/2013,  1/1/8000,,,,,,,,4,2,1,0,1,0
1,Alabama ERS,3,General Local Employees,1,Tier 1,,1/1/1800,12/31/2012,,,,,,,,4,2,1,0,1,0
1,Alabama ERS,3,General Local Employees,2,Tier 2,,  1/1/2013,  1/1/8000,,,,,,,,4,2,1,0,1,0
1,Alabama ERS,4,Local Police and Fire,1,Tier 1,,1/1/1800,12/31/2012,,,,,,,,4,2,1,0,1,0
1,Alabama ERS,4,Local Police and Fire,2,Tier 2,,  1/1/2013,  1/1/8000,,,,,,,,4,2,1,0,1,0
2,Alabama Teachers,0,Teachers,1,Tier 1,,1/1/1800,12/31/2012,,,,,,,,1,2,0,0,1,0
2,Alabama Teachers,0,Teachers,2,Tier 2,,  1/1/2013,  1/1/8000,,,,,,,,1,2,0,0,1,0
3,Alaska PERS,1,Others,1,Tier 1,,  1/1/1961, 6/30/1986,,,,,,,,2,3,1,0,1,0
3,Alaska PERS,1,Others,2,Tier 2,,  7/1/1986, 6/30/1996,,,,,,,,2,3,1,0,1,0
3,Alaska PERS,1,Others,3,Tier 3,,  7/1/1996, 6/30/2006,,,,,,,,2,3,1,0,1,0
3,Alaska PERS,2,Peace Officers,1,Tier 1,,  1/1/1961, 6/30/1986,,,,,,,,2,3,1,0,1,0
3,Alaska PERS,2,Peace Officers,2,Tier 2,,  7/1/1986, 6/30/1996,,,,,,,,2,3,1,0,1,0
3,Alaska PERS,2,Peace Officers,3,Tier 3,,  7/1/1996, 6/30/2006,,,,,,,,2,3,1,0,1,0
4,Alaska Teachers,0,Teachers,1,Tier 1,,1/1/1800, 6/30/1990,,,,,,,,1,2,0,0,1,0
4,Alaska Teachers,0,Teachers,2,Tier 2,,  7/1/1990,  1/1/8000,,,,,,,,1,2,0,0,1,0
5,Arizona Public Safety Personnel,0,All Groups,1,Tier 1,,1/1/1800,12/31/2011,,,,,,,,1,2,0,0,1,0
5,Arizona Public Safety Personnel,0,All Groups,2,Tier 2,,  1/1/2012,  1/1/8000,,,,,,,,1,2,0,0,1,0
6,Arizona SRS,1,Higher Education,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,1,Higher Education,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,2,Other Education,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,2,Other Education,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,3,City Employees,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,3,City Employees,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,4,County Employees,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,4,County Employees,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,5,State Employees,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,5,State Employees,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,6,Political Subdivisions,1,Tier 1,,1/1/1800, 6/30/2011,,,,,,,,6,2,0,0,1,0
6,Arizona SRS,6,Political Subdivisions,2,Tier 2,,  7/1/2011,  1/1/8000,,,,,,,,6,2,0,0,1,0
7,Arkansas PERS,1,General State and Local,1,Tier 1,,1/1/1800,12/31/1977,,,,,,,,3,3,1,0,1,0
7,Arkansas PERS,1,General State and Local,2,Tier 2,,  1/1/1978, 6/30/2005,,,,,,,,3,3,1,0,1,0
7,Arkansas PERS,1,General State and Local,3,Tier 3,, 7/31/2005,  1/1/8000,,,,,,,,3,3,1,0,1,0
7,Arkansas PERS,2,General Assembly,1,Tier 1,,1/1/1800,12/31/1977,,,,,,,,3,3,1,0,1,0
7,Arkansas PERS,2,General Assembly,2,Tier 2,,  1/1/1978, 6/30/2005,,,,,,,,3,3,1,0,1,0
7,Arkansas PERS,2,General Assembly,3,Tier 3,, 7/31/2005,  1/1/8000,,,,,,,,3,3,1,0,1,0
7,Arkansas PERS,3,Judges,0,,,,,,,,,,,,3,1,1,0,0,0
8,Arkansas Teachers,0,All Employees,1,Non-Contributory,,1/1/1800, 6/30/1999,,,,,,,,1,2,0,0,1,0
