,1
9,"$544,451 "
5,"7,566"
5,"48,375"
5,"129,521"
5,"358,591"
5,"11,042,440"
5,"48,099,511"
5,"105,987,827"
5,"140,495,382"
5,"121,887,471"
1,"18,187,776"
1,"19,251,001"
1,"16,141,088"
1,"15,369,190"
1,"14,225,708"
1,"12,619,830"
1,"11,393,411"
1,"11,226,836"
1,"9,082,158"
1,"8,500,164"
1,"7,239,137"
1,"6,460,339"
1,"5,573,071"
1,"5,453,567"
1,"3,208,514"
1,"3,849,593"
1,"2,730,316"
1,"2,116,815"
1,"1,947,468"
1,"1,231,251"
1,"1,024,759"
1,"721,307"
1,"379,718"
1,"412,614"
1,"154,906"
1,"113,367"
1,"84,723"
1,"5,931"
1,"15,103"
1,"24,485"
1,0
1,"8,727"
1,"11,424"
