,5,1,1,1,1,1,19,1,1
22,0,0,0,0,0,0,0,0,0
3,0,0.0659,0.06255,0.05965,0.05135,0.03165,0.03165,0,0
5,0,0.065,0.06055,0.05485,0.0488,0.02865,0.02865,0.0678,0.0683
5,0,0.0572,0.0541,0.05095,0.046,0.03,0.03,0.1652,0.13265
5,0,0.0562,0.0531,0.0495,0.0441,0.03675,0.03675,0.1909,0.16195
2,0,0.0562,0.05265,0.04905,0.04365,0.04035,0.04035,0.2345,0.24005
1,0,0.2345,0.2345,0.2345,0.2345,0.2345,0.2345,0.2345,0.24005
2,0,0.2345,0.24005,0.24005,0.24005,0.24005,0.24005,0.24005,0.24005
5,0,0.16625,0.2359,0.2359,0.2359,0.2359,0.2359,0.2359,0.2359
