,1
25,3927.91
1,8330.98
1,4606.59
1,7296.13
1,26268.16
1,179357.12
1,232019.24
1,305116.05
1,352164.94
1,378862.54
1,732591.78
1,1099617.46
1,1440448.69
1,1740101.81
1,1844863.77
1,1988284.92
1,2045872.92
1,1796271.62
1,1988348.75
1,2091029.81
1,1964437.85
1,2013637.78
1,2114859.75
1,2493719.35
1,2700760.01
1,3193992.98
1,2249359.97
1,2252737.35
1,1901482.13
1,1724713.24
1,1633508.77
1,1417727.29
1,1124483.18
1,1145361.23
1,785103.68
1,747016.77
1,764397.92
1,526293.46
1,451452.74
1,479200.55
1,397487.53
1,361511.47
1,326247.11
1,237912.41
1,217572.83
1,299002.48
1,273599.75
1,238109.02
1,200219.49
1,193997.04
1,141732.18
1,70703.97
1,28136.58
1,8187.37
1,31815.9
1,17517.21
1,15376.18
