,14,5,5
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0.2,0
1,0,0.2,0
1,0,0.2,0
1,0,0.2,0.05
1,0,0.2,0.05
1,0,0.1,0.05
1,0,0.1,0.05
1,0,0.1,0.05
1,0,0.2,0.05
1,0.05,0.2,0.1
1,0.05,0.1,0.06
1,0.1,0.02,0.06
1,0.05,0.02,0.06
1,0.05,0.02,0.08
1,0.1,0.02,0.08
1,0.1,0.02,0.12
1,0.2,0.02,0.12
1,0.2,0.02,0.06
1,0.15,0.1,0.06
1,0.5,0.1,0.06
1,0.1,0.1,0.11
1,0.1,0.1,0.1
1,0.1,0.1,0.1
1,0.1,0.1,0.1
1,0.1,0.1,0.1
1,0.05,0.4,0.4
1,0.05,0.4,0.4
1,0.05,0.4,0.4
1,0.05,0.4,0.4
