,9,9
1,0.46,0
1,0.42,0
1,0.38,0
1,0.35,0.1
1,0.32,0.1
1,0.29,0.1
1,0.27,0.1
1,0.25,0.1
1,0.23,0.1
1,0.21,0.1
1,0.2,0.1
1,0.2,0.1
1,0.2,0.1
1,0.2,0.08
1,0.2,0.08
1,0.2,0.08
1,0.18,0.06
1,0.18,0.06
1,0.18,0.06
1,0.18,0.06
1,0.18,0.05
1,0.18,0.05
1,0.18,0.05
1,0.18,0.05
1,0.18,0.06
1,0.17,0.06
1,0.17,0.06
1,0.17,0.06
1,0.17,0.06
1,0.17,0.07
1,0.13,0.07
1,0.13,0.07
1,0.13,0.07
1,0.13,0.07
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
1,0.13,0.1
