,1,1,1,1,1,1
5,0.28,0.156,0.094,0.074,0.054,0.0562
1,0.28,0.156,0.094,0.074,0.054,0.0562
1,0.28,0.156,0.094,0.074,0.054,0.0562
1,0.28,0.156,0.094,0.074,0.054,0.05452
1,0.28,0.156,0.094,0.074,0.054,0.05284
1,0.28,0.156,0.094,0.074,0.054,0.05116
1,0.28,0.156,0.094,0.074,0.054,0.04956
1,0.28,0.156,0.094,0.074,0.054,0.04796
1,0.28,0.156,0.094,0.074,0.054,0.04602
1,0.28,0.156,0.094,0.074,0.054,0.04408
1,0.28,0.156,0.094,0.074,0.054,0.04214
1,0.28,0.156,0.094,0.074,0.054,0.04028
1,0.28,0.156,0.094,0.074,0.054,0.0385
1,0.28,0.156,0.094,0.074,0.054,0.03664
1,0.28,0.156,0.094,0.074,0.054,0.03486
1,0.28,0.156,0.094,0.074,0.054,0.03316
1,0.28,0.156,0.094,0.074,0.054,0.03146
1,0.28,0.156,0.094,0.074,0.054,0.02976
1,0.28,0.156,0.094,0.074,0.054,0.02814
1,0.28,0.156,0.094,0.074,0.054,0.0266
1,0.28,0.156,0.094,0.074,0.054,0.02506
1,0.28,0.156,0.094,0.074,0.054,0.02352
1,0.28,0.156,0.094,0.074,0.054,0.02214
1,0.28,0.156,0.094,0.074,0.054,0.02076
1,0.28,0.156,0.094,0.074,0.054,0.01946
1,0.28,0.156,0.094,0.074,0.054,0.01816
1,0.28,0.156,0.094,0.074,0.054,0.01694
1,0.28,0.156,0.094,0.074,0.054,0.0158
1,0.28,0.156,0.094,0.074,0.054,0.01474
1,0.28,0.156,0.094,0.074,0.054,0.01368
1,0.28,0.156,0.094,0.074,0.054,0.0127
1,0.28,0.156,0.094,0.074,0.054,0.01188
1,0.28,0.156,0.094,0.074,0.054,0.01098
1,0.28,0.156,0.094,0.074,0.054,0.01024
1,0.28,0.156,0.094,0.074,0.054,0.00958
1,0.28,0.156,0.094,0.074,0.054,0.009
1,0.28,0.156,0.094,0.074,0.054,0.0085
1,0.28,0.156,0.094,0.074,0.054,0.00808
1,0.28,0.156,0.094,0.074,0.054,0.00808
1,0.28,0.156,0.094,0.074,0.054,0.00816
1,0.28,0.156,0.094,0.074,0.054,0.00832
1,0.28,0.156,0.094,0.074,0.054,0.00856
1,0.28,0.156,0.094,0.074,0.054,0.00888
1,0.28,0.156,0.094,0.074,0.054,0.00888
1,0.28,0.156,0.094,0.074,0.054,0.00888
