,20,1,1,1,1,1
25,0.15,0,0,0,0,0
1,0.12,0.15,0,0,0,0
1,0.12,0.15,0.17,0,0,0
1,0.12,0.15,0.17,0.21,0,0
1,0.12,0.15,0.17,0.21,0.25,0
1,0.15,0.15,0.18,0.21,0.25,0.32
1,0.15,0.15,0.18,0.21,0.25,0.32
1,0.15,0.15,0.18,0.21,0.25,0.32
1,0.25,0.25,0.25,0.25,0.25,0.25
1,0.2,0.2,0.2,0.2,0.2,0.2
1,0.3,0.3,0.3,0.3,0.3,0.3
1,0.3,0.3,0.3,0.3,0.3,0.3
1,0.25,0.25,0.25,0.25,0.25,0.25
1,0.25,0.25,0.25,0.25,0.25,0.25
1,0.25,0.25,0.25,0.25,0.25,0.25
1,0.25,0.25,0.25,0.25,0.25,0.25
1,0.4,0.4,0.4,0.4,0.4,0.4
1,0.3,0.3,0.3,0.3,0.3,0.3
1,0.3,0.3,0.3,0.3,0.3,0.3
1,0.3,0.3,0.3,0.3,0.3,0.3
1,1,1,1,1,1,1
