,1
28,0
1,48208
1,343431
1,1164568
1,5807954
1,14393905
1,24783888
1,35731702
1,50624040
1,86036157
1,115946551
1,153974384
1,214563248
1,260958134
1,279097560
1,309228743
1,300759121
1,356458643
1,303814351
1,227256798
1,220902595
1,232021320
1,224009290
1,189556822
1,163244194
1,148191725
1,147409887
1,132259916
1,118728759
1,107646356
1,99866286
1,84778219
1,83582874
1,80647868
1,74681246
1,65849988
1,57199364
1,50670524
1,42465158
1,38512276
1,31210578
1,25673465
1,21229994
1,16836326
1,13449727
1,9443405
1,9181237
1,6482897
1,4249800
1,2947723
1,2609469
1,1645108
1,1445757
1,874086
1,376729
1,445279
1,147477
1,17371
1,68025
1,4329
