,24,5,5,5
32,0,0,0,0
1,0,0,0.2,0.48
1,0,0,0.2,0.48
1,0,0,0.2,0.6
1,0,0.084,0.2,0.6
1,0,0.084,0.2,0.6
1,0,0.084,0.2,0.6
1,0,0.084,0.2,0.56
1,0,0.094,0.24,0.55
1,0.1,0.094,0.28,0.55
1,0.1,0.094,0.28,0.55
1,0.104,0.112,0.28,0.55
1,0.104,0.112,0.304,0.55
1,0.144,0.184,0.304,0.52
1,0.24,0.28,0.304,0.52
1,0.2,0.28,0.304,0.52
1,0.19,0.2,0.304,0.51
1,0.19,0.2,0.304,0.5
1,0.19,0.2,0.304,0.5
1,0.19,0.2,0.304,0.38
1,0.19,0.2,0.304,0.38
1,0.19,0.2,0.304,0.38
1,0.19,0.2,0.304,0.38
1,0.19,0.2,0.304,0.38
1,1,1,1,1
