,4,5,5,5,5,5,5,5,1
4,40106880,646277,0,0,0,0,0,0,0
5,87163258,17594268,542520,0,0,0,0,0,0
5,77099352,61755912,12598615,204790,0,0,0,0,0
5,59509548,52565400,36748272,10365195,138093,0,0,0,0
5,56111418,51551458,38198475,36082368,7651870,616476,0,0,0
5,49028676,44715132,33978142,36896594,29053310,15118628,731136,0,0
5,44845080,42816766,39508632,34590984,33650875,44350433,21744424,1117272,0
5,39395642,45676432,37924824,36031410,32603620,32054477,25651887,10269216,106398
5,24539148,35803168,29325122,26536466,23615616,22053616,16370820,14614738,168832
5,7797678,12666212,12437920,10627518,7843780,8240954,5115655,5256105,72360
1,3589160,4860576,4688500,4213056,3091960,2543944,1926553,788724,430556
