,1
3,0
1,2409
1,452
1,588
1,3480
1,6332
1,6058
1,7808
1,28873
1,34842
1,69852
1,74898
1,110468
1,151412
1,181169
1,180027
1,206411
1,278782
1,328376
1,441912
1,534054
1,566953
1,611988
1,823245
1,912215
1,911917
1,1256592
1,1307320
1,1622903
1,2141035
1,2730507
1,3293876
1,5285226
1,12897788
1,32781806
1,56411404
1,89082804
1,141929426
1,206875898
1,263225907
1,293215693
1,15013275
1,325637370
1,358623376
1,288531920
1,225727950
1,205018910
1,205572709
1,190019583
1,152031246
1,128405330
1,110280764
1,104429634
1,93644254
1,88611265
1,76065000
1,69907560
1,65018856
1,66302677
1,66156648
1,56480666
1,46621376
1,44188362
1,39014400
1,33925726
1,27605038
1,23837898
1,17464408
1,14507829
1,12781718
1,10576406
1,7072769
1,6791009
1,5143226
1,3630072
1,2796539
1,2310698
1,1704150
1,1266625
1,650117
1,548900
1,362312
1,107706
1,145953
1,93529
1,33018
1,18920
1,16204
1,9259
