,29,1,1
25,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0.02,0.144,0.09
1,0.028,0.15,0.1
1,0.036,0.156,0.11
1,0.044,0.17,0.128
1,0.056,0.186,0.148
1,0.068,0.202,0.142
1,0.148,0.298,0.192
1,0.228,0.392,0.284
1,0.208,0.35,0.262
1,0.494,0.51,0.494
1,0.416,0.416,0.416
1,0.338,0.338,0.338
1,0.26,0.26,0.26
1,0.246,0.086,0.246
1,0.39,0.39,0.39
1,0.294,0.294,0.294
1,0.322,0.322,0.322
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,1,1,1
